stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,15.73,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,315,1,2,0,1,0,0,0,1,0,2,0,0,0,3,0,0,9,1,0,0,0,0,266,1,0,0,1,0,0,0,0
 24-34,0,0,380.06,0,10.67,0,18.06,0,0,2.46,0,0,4.93,0,0,1.64,9.85,0,2.46,45.97,1.64,2.46,0,0,0,462.96,0,0,0.82,9.85,0,1.64,0,0
 36-46,0,0,121.66,0,11.28,0,28.2,0,0,0,1.61,0,0.81,0.81,0,1.61,5.64,0,0,38.67,0.81,2.42,0.81,0,0,394.78,0,0,0,11.28,0,0,0,0
 48-58,0,0,49.35,0.57,24.1,0,25.25,0.57,1.15,0,16.64,0,1.15,0,0,2.3,2.87,0,0.57,30.99,0,1.15,1.15,0,0,164.68,0,0,0,7.46,0,0.57,0,1.15
 60-70,0,0,30.43,0,48.09,0,18.65,0.98,0.98,0.98,8.83,0,1.96,0.98,0,3.93,7.85,0,0,46.13,0,1.96,0.98,0,0,178.64,0,1.96,0,10.8,0,0,0,0
 72-82,0,0,19.63,0.98,71.66,0,10.8,0.98,5.89,11.78,2.94,0,5.89,0.98,1.96,3.93,17.67,0,1.96,54.97,0,0.98,0.98,0,0.98,192.41,0,1.96,0,8.83,0,0,0.98,0.98
 84-94,0,0,55.23,1.06,108.33,0,24.43,2.12,3.19,26.55,6.37,0,12.74,1.06,0,3.19,10.62,0,2.12,42.48,0,1.06,1.06,0,0,395.08,0,1.06,0,3.19,3.19,0,0,1.06
 96-106,0,0,51.36,5.46,115.84,1.09,25.14,2.19,2.19,33.88,0,0,16.39,0,1.09,7.65,13.11,2.19,0,46.99,0,3.28,0,0,0,464.46,0,4.37,0,2.19,3.28,0,1.09,1.09
108-118,0,0,57.45,0,152.43,0.77,33.7,4.6,10.72,32.94,0,0,15.32,0,0.77,5.36,8.43,0,0,75.06,0,5.36,0.77,0,0.77,400.6,0,3.83,0,4.6,1.53,0.77,0,0
120,0,0,58.79,0,54.87,0,31.36,1.96,0,29.4,0,1.96,1.96,0,0,3.92,11.76,0,0,66.63,0,3.92,0,0,1.96,333.16,0,3.92,0,7.84,1.96,1.96,0,0
