stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,1,1,0,1,5,0,0,1,0,0
 24-34,0,0,0,0,1.64,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,2.46,27.09,0,0,0,0,0,0,0,0.82,0,0.82,9.85,0,0,7.39,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0.81,24.98,0,0,0,0,0,0.81,0,0,0,0,12.09,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,0,1.72,0,0,0,0.57,0.57,0,0,0,0,0,0,0,1.72,0,0.57,0,26.97,0,0,0,0,0,0,0,0,0,0,4.02,0,0,1.15,0,0
 60-70,0.98,0,0,0,2.94,0,4.91,8.83,0,0,0,0.98,0,0,0,0,0,0,0,0,14.72,0,1.96,0.98,59.87,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,0,2.94,0,0
 72-82,0,0,2.94,0,3.93,0.98,70.68,30.43,0.98,0,3.93,8.83,5.89,0,0.98,0,0,0,2.94,0,20.61,0,2.94,1.96,105.04,0,0.98,0.98,0,0,7.85,0,0,0,0,4.91,1.96,0.98,2.94,0,0
 84-94,0,0,1.06,0,6.37,3.19,148.69,27.61,0,0,3.19,14.87,7.43,0,1.06,1.06,1.06,0,4.25,0,18.05,0,5.31,3.19,84.96,0,1.06,0,0,0,8.5,0,0,0,0,4.25,1.06,1.06,5.31,4.25,0
 96-106,0,0,1.09,0,24.04,19.67,312.55,88.52,2.19,3.28,3.28,26.23,16.39,1.09,6.56,2.19,0,2.19,8.74,0,51.36,1.09,4.37,7.65,190.16,1.09,8.74,5.46,0,4.37,26.23,0,1.09,0,0,6.56,2.19,2.19,10.93,6.56,2.19
108-118,0,0,0,0,28.34,9.19,640.35,98.81,1.53,6.13,9.19,35.23,18.38,0.77,6.89,6.13,5.36,6.89,6.13,2.3,78.89,0,3.06,6.13,245.11,5.36,3.83,2.3,0,5.36,32.17,0,3.06,0,0,6.89,0.77,0.77,5.36,3.06,3.83
120,0,0,1.96,0,13.72,19.6,288.09,64.67,0,1.96,1.96,27.44,9.8,1.96,5.88,3.92,3.92,1.96,7.84,1.96,70.55,0,1.96,13.72,184.22,5.88,1.96,7.84,0,3.92,13.72,0,3.92,1.96,0,0,0,9.8,5.88,0,1.96
