stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,5165.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,275.83,3346.78,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,61.3,0,0,0,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,10.51,0,0,0,10.51,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,254.99,7.89,0,0,70.98,18.4,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,122.73,9.44,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,122,3,0,0,0,5,0,0,4,1,0,0,11,0,1,0,1,1,1,14,0,1,5,3,101,0,1,1,1,2,5,0,0,1,0,0
 24-34,0,0,0,7.39,101.79,0.82,0,3.28,0,18.06,0,0,2.46,0,0,0,19.7,0,9.03,0.82,8.21,4.1,2.46,55,0.82,13.95,10.67,0,261.85,0,0,7.39,0,0.82,4.93,0,0,2.46,0,0
 36-46,0,0,0,0.81,44.31,0,0,1.61,0,10.47,0.81,0,3.22,1.61,0,0,3.22,0.81,7.25,0,2.42,1.61,0.81,48.34,1.61,10.47,10.47,0,240.09,0,0,4.03,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,43.04,0,0,6.31,0,24.1,0,1.15,2.3,10.33,0,0,4.59,0,13.2,0,5.74,7.46,0.57,47.05,0,5.16,14.92,0,239.85,0,0,2.87,0,0,6.89,0,0,0,0,1.72
 60-70,0,0,0.98,0.98,64.78,0,0,10.8,0,22.58,0,2.94,6.87,5.89,0,0,6.87,0,19.63,1.96,11.78,8.83,1.96,40.24,0,13.74,13.74,0,245.38,0,0,5.89,0,0,3.93,0.98,0,0,0,0
 72-82,0,0,2.94,0,105.04,0.98,0,19.63,0,28.47,0.98,2.94,24.54,3.93,0,0,12.76,0,42.21,0.98,23.56,16.69,2.94,56.94,0,14.72,35.34,0,297.44,0,0,3.93,0,0,1.96,10.8,0,1.96,0,0.98
 84-94,1.06,0,1.06,0,233.65,1.06,3.19,10.62,0,59.47,2.12,1.06,54.16,6.37,0,0,41.42,0,41.42,3.19,9.56,20.18,0,41.42,0,29.74,36.11,0,723.25,0,0,9.56,0,0,1.06,45.67,0,0,0,0
 96-106,0,0,8.74,2.19,314.74,2.19,0,18.58,1.09,87.43,2.19,7.65,80.87,1.09,0,0,36.06,0,69.94,12.02,17.49,25.14,3.28,42.62,0,61.2,56.83,0,607.62,0,0,5.46,1.09,0,3.28,62.29,1.09,4.37,1.09,2.19
108-118,0,0,5.36,3.83,340.85,1.53,3.83,4.6,0,125.62,1.53,6.13,88.85,0,0.77,5.36,49.02,0.77,55.15,8.43,18.38,22.98,3.06,42.89,0,31.4,55.15,0,559.15,0,0,7.66,0,0,0.77,82.72,0,1.53,0.77,2.3
120,0,0,0,0,244.97,0,0,1.96,0,70.55,0,1.96,64.67,0,0,3.92,25.48,0,21.56,9.8,9.8,11.76,0,33.32,0,23.52,37.24,0,388.04,3.92,0,9.8,0,0,0,35.28,0,1.96,1.96,0
