stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0
 24-34,0,0,0.82,2.46,1.64,0,0.82,0,0,0.82,6.57,0,1.64,4.1,0,0,5.75,0,0,0,1.64,0,0,0,0.82,2.46,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,1.61,0.81,0,8.86,0,0,8.86,0,0,0,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,3.44,0.57,0,0,0,0,0.57,0,0,17.79,0,0,12.62,0,0,0,0,0,0,0.57,1.15,1.15,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0.98,0,0,1.96,13.74,0,0,17.67,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,4.91,0.98,2.94,0,0,9.82,1.96,0,0.98,28.47,0.98,0,7.85,0,0.98,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,2.12,1.06,2.12,0,3.19,0,0,6.37,0,0,2.12,21.24,0,0,8.5,0,0,0,0,0,0,0,1.06,3.19,0
 96-106,0,0,1.09,1.09,3.28,1.09,2.19,0,0,16.39,0,0,4.37,26.23,0,1.09,7.65,0,0,0,0,0,0,0,1.09,3.28,1.09
108-118,0,0,2.3,1.53,3.06,0,2.3,1.53,0,20.68,0.77,0,0.77,9.96,0.77,0,9.19,0,0,0,1.53,0,0,0,0,1.53,0
120,0,0,1.96,3.92,1.96,0,1.96,1.96,0,19.6,0,0,0,5.88,0,0,5.88,0,0,0,1.96,0,0,0,0,0,0
