stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,11,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,9,0,0,19,22,0,1,0,0,0,0,0,0,0,21,22,0,0,0,0,0
 24-34,0,12.31,0,0.82,0,0.82,0,0,1.64,0,0,9.03,0,0,0,0,0,23.8,0,0,25.45,128.05,0,2.46,0,0,0,1.64,0,1.64,0,0.82,39.4,0,0,0.82,0,0.82
 36-46,0,4.83,0.81,0,0,4.03,0,0,4.03,0,0,8.06,0,0,0,0,0,45.12,0,0,11.28,306.15,0,0.81,0,0,0,3.22,0,0,0,0,49.95,0,0,0,0,0
 48-58,0,6.31,1.15,0,0,23.53,0,0.57,5.74,4.59,0,6.31,0,0,0.57,0,0.57,67.71,0,0,12.05,409.7,0,1.15,0,0,0.57,1.72,0,0,0,0,54.51,0,1.15,0.57,0,1.15
 60-70,0,3.93,0.98,0,0,56.93,0.98,0,3.93,5.89,0.98,6.87,0,0,0,0,0,123.67,0,4.91,8.83,747.92,0.98,1.96,0,0,0.98,1.96,0,0,0.98,0,74.6,0,2.94,0.98,1.96,0.98
 72-82,0,20.61,7.85,0.98,0,99.15,0.98,0,11.78,13.74,3.93,5.89,1.96,0.98,0,0.98,0,251.31,0.98,10.8,20.61,937.49,0,0,0,0,3.93,0.98,0,0,0,0,72.64,0.98,13.74,1.96,16.69,0
 84-94,0,14.87,5.31,4.25,0,89.21,0,0,1.06,13.81,3.19,3.19,1.06,0,1.06,0,1.06,128.51,0,9.56,9.56,490.66,0,1.06,3.19,0,5.31,3.19,0,1.06,0,0,26.55,0,12.74,0,13.81,0
 96-106,0,14.21,8.74,5.46,0,89.61,0,1.09,5.46,8.74,7.65,7.65,2.19,0,1.09,1.09,0,146.44,0,6.56,14.21,485.22,0,2.19,7.65,0,12.02,1.09,0,0,0,0,24.04,3.28,13.11,1.09,22.95,0
108-118,0,12.26,12.26,0.77,0,55.15,0.77,4.6,3.83,12.26,2.3,3.83,0.77,0,0.77,0,0,113.36,0,9.19,5.36,472.6,0,2.3,6.13,0,7.66,1.53,0,0,0,0,18.38,2.3,12.26,2.3,17.62,0
120,0,7.84,11.76,1.96,1.96,66.63,0,1.96,5.88,9.8,5.88,9.8,0,1.96,0,0,0,125.43,1.96,9.8,7.84,499.75,0,0,1.96,0,5.88,1.96,1.96,0,0,0,13.72,0,17.64,3.92,23.52,0
