stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,254.99,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,49,7,2,1,0
 24-34,0,0,2.46,0.82,0.82,1.64,0.82,0,0,0,0,0,0,0,0,1.64,3.28,21.34,0,0,1.64,0,0.82,0,0,22.98,13.13,5.75,0.82,0
 36-46,0,0,3.22,0,1.61,4.03,0,0,0,0,0,0,0,0,0.81,0.81,0.81,42.7,0,0.81,0,0,1.61,0,0,13.7,0,9.67,1.61,0
 48-58,0,0,1.15,0,10.33,4.59,0,0,0.57,0,0,0,0,0,0,0.57,1.15,61.4,0,1.72,0.57,0,1.15,0,0,7.46,0,12.05,1.15,0
 60-70,0,0,0,0,14.72,6.87,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0.98,124.65,0,1.96,0,0,1.96,0,0,9.82,0,11.78,2.94,0
 72-82,0,0,3.93,0,39.27,0,0,0,2.94,0,0,0.98,0,0,0.98,2.94,0,157.07,0,0.98,0.98,0,1.96,0,0,4.91,0,16.69,1.96,0
 84-94,0,0,1.06,2.12,22.3,0,0,0,1.06,0,1.06,0,0,0,2.12,1.06,0,96.65,0,1.06,3.19,0,6.37,0,0,6.37,0,5.31,3.19,0
 96-106,0,0,2.19,0,33.88,3.28,1.09,0,3.28,1.09,0,0,1.09,0,0,0,3.28,83.06,0,1.09,4.37,0,1.09,0,0,4.37,0,4.37,3.28,1.09
108-118,0,0.77,3.06,0.77,22.21,3.06,1.53,0,5.36,0,0,0,0.77,0.77,0.77,2.3,0,111.06,0,0.77,3.06,0,0.77,0,0,4.6,0,2.3,0,0
120,0,0,1.96,1.96,17.64,1.96,3.92,0,3.92,1.96,0,0,0,0,0,3.92,1.96,154.82,0,1.96,1.96,0,3.92,0,0,0,0,7.84,1.96,0
