stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0,0,17.67,0,0,1.96,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,3.93,0,0.98,0.98,0.98,2.94,0,1.96,0,0,1.96,41.23,0,0,8.83,0,0,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,10.62,0,0,3.19,0,0,0,0,28.68,0,0,1.06,1.06,3.19,44.61,0,0,4.25,0,1.06,0,0,3.19,1.06,0,1.06,0,0,0
 96-106,0,27.32,1.09,0,9.84,1.09,5.46,0,6.56,71.04,0,6.56,1.09,1.09,5.46,90.71,1.09,0,29.51,0,1.09,0,1.09,8.74,0,0,7.65,2.19,0,0
108-118,0,30.64,0,0.77,5.36,0,5.36,0,2.3,78.13,0.77,3.06,0,0,5.36,91.15,0.77,0,10.72,0.77,0.77,0.77,0,10.72,0.77,1.53,10.72,1.53,0.77,0.77
120,0,31.36,0,1.96,5.88,0,0,0,1.96,23.52,1.96,0,0,1.96,1.96,78.39,0,1.96,25.48,0,0,0,1.96,5.88,0,0,1.96,1.96,0,0
