stage,blastomeres,endoderm,eye,glial,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,15.77,7.89,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,0,0,31.47,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,6,0,2,0,3,0
 24-34,0,0,4.1,0,0.82,0,0,0,14.78,0,0,0,3.28,0
 36-46,0,0,4.03,0.81,0.81,0,0,0,10.47,0,0,0,1.61,0
 48-58,0,0,5.16,3.44,0.57,0,0,0,6.31,0,0,0,0,0
 60-70,0,0,6.87,0,0.98,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0.98,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,6.56,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,1.53,4.6,0,0,0,2.3,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
