stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,15.77,7.89,0,0
 10-12,0,0,0,3.15,0,0,0,12.59,6.29,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,3.22,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0.98,5.89,0,0,0.98,1.96,0,0,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,2.12
 96-106,0,0,0,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0,4.6,0,0.77,1.53,3.06,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
