stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,34,0,0,0
 24-34,0,22.16,0,1.64,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,13.95,0.82,0,0,0,1.64,12.31,67.31,0,0,0
 36-46,0.81,2.42,0,3.22,2.42,0,0,0,2.42,0.81,0,0,0.81,0,4.83,0,1.61,13.7,0,0,0,0,3.22,7.25,89.43,4.03,0.81,0
 48-58,0,0.57,0,5.16,3.44,0.57,0.57,1.72,0.57,0,0,0,0,0,4.02,0,1.72,26.97,0,0,0,0,1.15,2.3,72.87,4.59,0,0
 60-70,0,1.96,0,9.82,9.82,0.98,0,2.94,1.96,0,0,0,0,0,0.98,0,0.98,8.83,0,0,0.98,0,0,0.98,40.24,0.98,0,0
 72-82,0,0,0,7.85,7.85,0,0,1.96,0.98,0,0,0,0,0,1.96,0.98,0,10.8,0,0,0,0,2.94,1.96,20.61,1.96,0,0
 84-94,0,1.06,1.06,4.25,12.74,0,0,0,1.06,0,2.12,0,0,0,2.12,1.06,1.06,4.25,0,0,0,0,1.06,0,38.23,0,0,0
 96-106,0,2.19,0,6.56,8.74,0,0,2.19,0,0,0,0,1.09,1.09,5.46,0,2.19,2.19,0,1.09,0,0,2.19,0,41.53,0,0,0
108-118,0,0.77,0,2.3,11.49,0,0.77,0.77,0,0,0,0,0,0.77,4.6,0,0,9.19,0,0.77,0,0.77,3.83,0.77,43.66,0,0.77,0.77
120,0,3.92,0,1.96,7.84,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,1.96,0,11.76,0,1.96,0
