stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,10.51,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,8,78,1,0,1,2,0,1,6,3,7,25,0,0,1,0,0
 24-34,0,0,0,0,5.75,0.82,0,27.09,0,0.82,2.46,0,0,0.82,0.82,0,1.64,0,0,0,27.91,0.82,0,8.21,231.48,0,0,3.28,0,0,0.82,0,0,1.64,51.71,0,0,10.67,0,0.82
 36-46,0,0,0,0,2.42,2.42,0,65.26,0,2.42,11.28,0.81,0,1.61,0,0,0,0,0.81,0,13.7,0,0.81,4.03,209.47,0,1.61,0.81,0,0,0.81,0,0,0,54.79,0,0.81,8.06,0,0
 48-58,0,0,0,0,2.87,0,0,60.82,0.57,1.72,13.2,0,0.57,0.57,0,0,1.15,0.57,0,1.15,22.38,0,0,2.87,172.72,0,1.15,1.15,0,0,1.72,0,0,0,41.31,0,0.57,2.3,0,0
 60-70,0,0,0,0,5.89,1.96,0,62.82,0.98,0.98,5.89,0,0.98,0,0.98,0.98,0.98,0,0,0,29.45,0,1.96,0.98,130.54,0,0,0.98,0,0,0,0,0,0,21.59,0,0,2.94,0.98,0.98
 72-82,0,0,0,0,5.89,0.98,0,51.05,0,0,14.72,0.98,0,0.98,0.98,0,0,0,0,0,42.21,1.96,0,1.96,163.94,0,0,3.93,0,0,0.98,0,0,0,9.82,0.98,0,4.91,0,0
 84-94,0,0,0,0,2.12,1.06,0,39.3,2.12,1.06,4.25,0,0,0,0,0,0,1.06,0,0,28.68,2.12,1.06,2.12,58.41,0,0,0,0,1.06,1.06,0,0,0,9.56,0,1.06,5.31,0,0
 96-106,0,0,1.09,0,2.19,1.09,1.09,16.39,0,2.19,6.56,1.09,0,0,1.09,1.09,0,0,0,0,13.11,1.09,0,1.09,51.36,0,0,0,0,2.19,1.09,0,0,0,4.37,0,1.09,4.37,0,0
108-118,0,0,0,0,2.3,0,0,18.38,0.77,1.53,6.89,0,0,0,0,0,3.06,0,0,0,19.15,0.77,1.53,0.77,46.72,0.77,0.77,0.77,0,0.77,1.53,0,0,0,3.83,0.77,0,3.06,0.77,0.77
120,0,0,0,0,1.96,0,0,15.68,1.96,0,7.84,1.96,0,0,1.96,0,0,0,0,0,7.84,1.96,3.92,1.96,50.95,0,0,0,0,0,0,0,0,0,3.92,0,0,5.88,0,0
