stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0,0,20.52,0,0.82,0.82,0,5.75,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,10.47,0.81,0,0,0,0,0,0,0,0,1.61,0.81,0,0.81,43.51,0,0.81,0,0,5.64,3.22,0,0,0,0
 48-58,0,0,1.15,0,0,9.75,0,0.57,5.16,0,0,0,0.57,0,0,7.46,0.57,0,0.57,49.92,0,0,0,0,2.3,9.75,0,0,0.57,0
 60-70,0,0,0,0.98,0,17.67,0.98,0,3.93,0,0.98,0,2.94,0,0,5.89,0,0,0.98,63.8,0,0,0,0,3.93,3.93,0,0,0,0
 72-82,0,0,0.98,1.96,0.98,17.67,0,0.98,1.96,1.96,0,0,0.98,0,0.98,10.8,0,1.96,0.98,74.61,0,0,0.98,0,2.94,0.98,0,0,0,0
 84-94,0,1.06,3.19,3.19,0,14.87,0,0,3.19,1.06,0,0,0,0,0,7.43,0,0,0,45.67,0,0,0,0,22.3,0,0,0,0,0
 96-106,0,0,2.19,4.37,0,7.65,1.09,0,1.09,1.09,0,0,0,0,1.09,6.56,0,0,0,33.88,1.09,0,0,0,21.86,1.09,0,0,0,1.09
108-118,0,0,3.06,2.3,0.77,6.89,0.77,0,2.3,0,0,0.77,0.77,0,0,6.89,0,0,0.77,43.66,0,0.77,0.77,0,9.96,1.53,0.77,0.77,0,0
120,0,0,5.88,1.96,0,13.72,1.96,0,5.88,3.92,0,0,1.96,0,0,0,0,0,1.96,62.71,0,0,0,0,3.92,0,0,0,1.96,0
