stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33,0,1,5,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,1.64,0,0,0.82,0.82,0,0,2.46,3.28,0.82,0,0,0,116.56,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0,0,0,1.61,0,0,0.81,0,0,0,0,105.54,0,0,1.61,0.81,0,0,0
 48-58,0,0,1.72,0,1.15,0,0,0,0.57,2.87,0,0,0,1.15,0,0,0.57,2.3,0,0,0,0,50.49,0,0,0,0,0,1.15,0
 60-70,0,0,1.96,0,0,0,0.98,0,0,7.85,0,0,0,0.98,1.96,0,0,0.98,0,0,0,0,50.06,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,3.93,5.89,0,0,0,0,6.87,0,0,0,0,0,0.98,0,42.21,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,3.19,0,0,0,1.06,0,3.19,11.68,0,2.12,0,0,0,0,0,0,0,0,0,0,113.64,0,0,0,0,2.12,2.12,0
 96-106,0,0,7.65,0,1.09,0,0,0,0,10.93,0,1.09,0,0,0,0,0,4.37,0,1.09,0,0,67.76,0,0,0,0,2.19,2.19,0
108-118,0,0,4.6,0,0,0.77,0,1.53,1.53,13.79,1.53,2.3,0,0,1.53,0.77,0,0,0,0,0,0,45.96,0,0,0,0,3.06,0,0
120,0,0,5.88,1.96,0,0,1.96,0,1.96,13.72,1.96,0,0,0,0,0,0,1.96,0,0,0,0,58.79,0,0,0,0,0,0,0
