stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0.82,0,0,0,0,0,0.82,9.03,0,2.46,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0.81,66.06,0.81,0.81,0,0,0,0,1.61,18.53,0,0,0
 48-58,0,0,0,0.57,0,0,4.59,0.57,0,0.57,0,0,0,0,0,0.57,0.57,0.57,0.57,62.54,0,0,0,0,0.57,0,0,16.64,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,12.76,0,0,7.85,1.96,0,1.96,0,0,0,6.87,0,0,176.67,0,0,0,0.98,0,0,0,18.65,0,0.98,0
 72-82,0,0,1.96,0,0.98,0,9.82,0,1.96,0.98,5.89,0,0,0.98,0,0,1.96,0,0,85.4,0.98,0,0,0,0,0,0,10.8,0,0.98,0.98
 84-94,0,0,0,3.19,1.06,1.06,11.68,0,0,2.12,8.5,3.19,3.19,0,0,0,1.06,0,0,49.92,0,0,0,0,2.12,0,2.12,3.19,0,0,0
 96-106,0,0,0,0,0,0,15.3,0,0,4.37,8.74,2.19,5.46,0,2.19,0,7.65,1.09,0,54.64,1.09,0,0,0,0,0,0,2.19,0,1.09,2.19
108-118,0,0,0.77,0.77,0,3.06,9.19,0,0.77,3.06,4.6,0.77,7.66,0,0,0.77,5.36,0,0,58.21,0.77,0,0,0.77,0,0,0,1.53,0.77,0,0
120,0,0,1.96,0,0,0,3.92,0,0,0,5.88,0,9.8,0,0,0,3.92,0,0,66.63,0,0,0,0,0,0,0,7.84,0,0,0
