stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral_line,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,8.06,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,3.44,0,0
 60-70,0,0,0,5.89,0.98,0,0.98,0,0,0.98,21.59,0,0,0,0,0.98,0,0
 72-82,0,0.98,0.98,7.85,0,0,0.98,0,0.98,0,21.6,0,0,0,0,0,0,0.98
 84-94,0,0,0,3.19,1.06,0,2.12,0,1.06,0,7.43,0,0,0,0,0,3.19,0
 96-106,0,0,1.09,4.37,0,1.09,1.09,1.09,1.09,0,13.11,0,0,0,0,1.09,0,0
108-118,0,0.77,0,6.89,0.77,0,0.77,0,0,0,16.09,0,0,0,0,0.77,1.53,0
120,0,0,0,3.92,0,0,3.92,0,0,0,17.64,0,1.96,0,0,1.96,1.96,0
