stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,4.93,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,48.43,0.82,0,0,0,4.1,0.82,0.82,9.85,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,2.42,123.27,2.42,0.81,1.61,0,3.22,0,0,22.56,0,0,0.81,0,4.03
 48-58,0,0,0,0,0,12.05,0,0,0,1.72,0,0.57,0,0,0.57,0,1.72,0,0,0.57,130.25,0.57,0.57,0.57,0,2.3,0,0,24.67,0,0,0,0,8.61
 60-70,0,0,0,0.98,0,20.61,0,0,0,0.98,0.98,0,0,0,0,0,9.82,0,0.98,1.96,202.19,0.98,0,0,0,2.94,0,0,25.52,0,0.98,0,0.98,9.82
 72-82,0,4.91,0,1.96,0,41.23,0,0,0,4.91,2.94,0,0,0.98,0,0.98,14.72,0,0.98,0,253.27,0.98,0.98,0.98,0,2.94,0,0,28.47,0.98,0,0.98,2.94,21.6
 84-94,0,8.5,0,1.06,0,57.35,0,1.06,0,3.19,0,0,0,1.06,0,1.06,5.31,1.06,0,1.06,122.13,0,3.19,1.06,0,1.06,0,0,15.93,0,1.06,1.06,2.12,13.81
 96-106,0,10.93,0,3.28,1.09,31.69,0,0,0,4.37,3.28,0,1.09,0,1.09,0,10.93,0,0,0,107.1,0,2.19,1.09,0,4.37,0,0,7.65,0,1.09,2.19,1.09,21.86
108-118,0,6.13,0,2.3,0.77,36,0,0,0,6.13,1.53,0,1.53,0.77,0.77,0,12.26,0,0,1.53,142.47,0.77,0,2.3,0,0.77,0,0,5.36,0,0,0,2.3,34.47
120,0,9.8,0,1.96,0,29.4,1.96,0,0,7.84,0,0,0,1.96,0,0,5.88,0,1.96,0,123.47,0,0,1.96,1.96,0,0,0,1.96,0,0,0,1.96,7.84
