stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,86.19,0,0,1.64,0,0,0.82,0,0,0,0,1.64,0,3.28,7.39,0.82,2.46,0,0
 36-46,145.02,0,2.42,10.47,0,0.81,0,0.81,0,0.81,1.61,1.61,0,7.25,12.89,0,0,0,0.81
 48-58,156.07,0,2.3,25.25,2.3,0,0.57,0,0,0,1.15,0.57,0,8.61,17.21,0,2.87,0,0
 60-70,141.34,0,2.94,19.63,0,0,0,0,0.98,0,1.96,0.98,0,5.89,5.89,0,1.96,0,0
 72-82,105.04,0,1.96,20.61,0,0,0,0,0,0,0,1.96,2.94,1.96,16.69,0,4.91,0,0
 84-94,252.76,1.06,3.19,40.36,0,0,0,0,0,0,0,2.12,0,1.06,38.23,0,1.06,1.06,0
 96-106,145.35,0,1.09,24.04,1.09,0,0,0,0,0,1.09,3.28,0,1.09,45.9,0,0,0,0
108-118,140.17,0,0,27.57,0,0,0,0.77,0,0,0,1.53,0,1.53,22.21,0,0,0,0
120,148.94,0,0,23.52,0,0,0,0,0,0,0,1.96,0,0,27.44,0,1.96,0,0
