stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,27,0,3,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,3.28,0,3.28,0,2.46,4.1,1.64,0,0,0,0,0,0,27.09,0.82,0,4.93,13.13,190.44,0,8.21,0,0,0,0.82,0,1.64,3.28,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,0,3.22,4.83,0.81,0,0,0,0,0.81,0,36.26,0,0,8.06,10.47,151.47,0,7.25,0,0,0,0,0,0,4.03,0,0,0.81,0,0
 48-58,0.57,0,0,0.57,0,6.89,0,2.3,5.16,1.15,0,0,0,0,0,1.15,177.88,0.57,0.57,5.16,17.21,157.8,0,16.64,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,7.85,0.98,4.91,0,2.94,5.89,2.94,0,0,0,0,0.98,0,399.48,0,0,4.91,13.74,96.19,0,11.78,0,3.93,0,0,0,0,1.96,0,0.98,0.98,0.98,0
 72-82,0,0,0.98,4.91,0,28.47,0.98,2.94,12.76,2.94,1.96,0,0,0,0,0.98,748.03,0.98,0.98,2.94,22.58,65.77,0.98,33.38,0,0,0,0,0.98,0,1.96,0,0,0.98,0.98,0.98
 84-94,0,0,0,7.43,0,26.55,0,3.19,8.5,2.12,1.06,0,0,1.06,0,0,591.55,0,2.12,3.19,10.62,105.14,1.06,31.86,0,3.19,0,0,0,0,1.06,0,3.19,2.12,3.19,0
 96-106,0,0,0,5.46,0,9.84,0,2.19,8.74,0,0,1.09,0,0,1.09,0,395.61,0,0,1.09,4.37,65.57,1.09,50.27,0,4.37,0,0,0,0,0,0,1.09,2.19,2.19,0
108-118,0,0,0,3.83,0.77,7.66,0,7.66,3.83,2.3,0,0.77,0.77,0,0,0,261.19,0,0.77,0.77,11.49,49.79,0,45.19,0,3.06,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,3.92,0,9.8,0,5.88,1.96,0,0,1.96,0,0,1.96,0,217.54,1.96,0,0,7.84,52.91,0,23.52,0,1.96,0,0,0,0,0,0,3.92,1.96,0,0
