stage,endocrine.pancreas,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,periderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,3,0,0,2
 24-34,0,0.82,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,2.87,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0,2.94,0,0,0
 84-94,0,0,2.12,0,0,0,0,1.06,3.19,0,0,0
 96-106,1.09,0,2.19,1.09,0,0,0,0,1.09,1.09,0,0
108-118,0,0,1.53,0,0.77,0.77,0.77,0,1.53,0,0,0.77
120,0,0,1.96,0,0,0,0,0,3.92,0,0,0
