stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,4,0,2,6,0,0,1,0,0
 24-34,0,0,0,4.1,33.66,0,7.39,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0.82,3.28,0,0,0.82,38.58,0,4.1,1.64,0,5.75,0,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,1.61,12.89,0,12.09,0,0,0,4.03,0,0,0,0,0,0,0,0,0,4.83,0,0,0,32.23,0.81,4.83,0,0,2.42,0,0,0.81,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,1.15,41.31,0,12.05,0,0,0,5.16,0,0,0,0,0,0.57,0,0,0,6.89,0,0,0.57,26.97,0,7.46,0.57,0,2.3,0,0,0,0,8.03,0,0,0,0,0
 60-70,0,0,0,0.98,40.24,0,31.41,0,0,0,9.82,0,0,0,0.98,0,0.98,0,0,0,11.78,0,0.98,0.98,28.46,0,3.93,0.98,0,0,0,0,0.98,0,10.8,0,0,1.96,0,0
 72-82,0,0,0,1.96,114.85,0,28.47,0,0.98,0,17.67,0.98,0,0,1.96,0.98,3.93,0,0,0,7.85,0,0.98,5.89,42.21,0,15.71,0,0,1.96,0,0,0,0,5.89,0,0,0,0,0.98
 84-94,0,0,0,0,70.09,0,19.12,0,0,0,14.87,0,1.06,0,0,1.06,3.19,1.06,0,0,3.19,0,0,2.12,18.05,0,11.68,1.06,0,7.43,0,0,1.06,0,0,0,0,1.06,1.06,1.06
 96-106,0,1.09,0,0,98.36,0,18.58,0,0,0,30.6,3.28,1.09,2.19,3.28,0,1.09,2.19,1.09,0,7.65,1.09,0,0,20.76,0,17.49,0,0,5.46,0,0,0,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,0.77,0,5.36,57.45,1.53,15.32,0.77,0.77,0.77,22.98,0,0,0,2.3,0,0.77,0,0.77,0,6.89,0,1.53,0,19.15,0,9.19,1.53,0,3.06,0,0,0.77,0,0,0.77,0,3.83,0,2.3
120,0,0,0,5.88,78.39,0,15.68,0,0,0,35.28,5.88,0,0,0,0,0,1.96,0,0,0,0,0,0,17.64,0,11.76,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0
