stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,92,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,3,0,0,0,2,1,0,3,0,0,0,0,0,0,4,0,0,3,39,0,0,0,3,0,1,3,0,41,35,13,0,0,0,0,0
 24-34,0,0,1.64,7.39,0,0,10.67,13.13,0,0,0,0,0,2.46,0,0.82,0,0,0,0.82,11.49,0,0,13.13,105.07,0,0,0.82,0,0,9.03,0,0,28.73,32.01,28.73,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,11.28,18.53,0,0,5.64,0,0,0.81,0,0,0,0.81,0,0.81,15.31,0,0,8.06,93.46,1.61,0.81,1.61,0,0.81,5.64,0,0.81,12.89,2.42,16.92,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,26.4,13.77,1.15,1.15,6.31,0,0,0.57,0.57,0,1.15,0,0,1.72,11.48,0,0,4.59,85.5,0.57,0,0.57,0.57,0,2.3,0,0,10.9,0,19.51,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0,0,41.22,10.8,0.98,0,12.76,0,0,0,0,0,0,0,0,0,21.59,0.98,0.98,4.91,88.34,1.96,0.98,0,0,0,1.96,0,0,9.82,0,16.69,0,0,0.98,0,1.96
 72-82,0,0,0,4.91,0.98,0,39.27,10.8,0,0,10.8,1.96,0,0.98,0.98,0,0,2.94,0,0,35.34,0,0,3.93,69.7,0,1.96,0,0,0,6.87,0,0,2.94,0,10.8,0,0,2.94,0.98,0
 84-94,0,0,0,6.37,1.06,1.06,30.8,7.43,0,0,9.56,0,1.06,0,1.06,0,0,1.06,0,2.12,14.87,0,0,3.19,46.73,0,0,0,0,1.06,5.31,0,0,7.43,0,4.25,1.06,0,4.25,1.06,2.12
 96-106,0,0,0,6.56,0,0,30.6,16.39,2.19,0,14.21,2.19,0,1.09,1.09,0,0,2.19,1.09,0,30.6,0,0,5.46,46.99,0,2.19,2.19,0,0,8.74,0,1.09,16.39,0,3.28,1.09,2.19,2.19,2.19,0
108-118,0,0,0,10.72,0.77,0,27.57,6.13,0.77,0,13.02,1.53,0,0,1.53,0.77,1.53,0,2.3,0.77,10.72,0,0,4.6,41.36,1.53,0,1.53,0,0,3.83,0,0.77,9.19,0,2.3,0.77,0,2.3,0.77,0.77
120,0,0,0,9.8,3.92,0,19.6,3.92,1.96,3.92,9.8,1.96,0,0,3.92,0,0,0,0,0,11.76,1.96,3.92,7.84,45.08,0,0,1.96,0,0,5.88,0,0,3.92,0,1.96,1.96,0,3.92,0,0
