stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,55.2,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,49,0,0,0,0,0,0,7,0,3,21,0,2,0
 24-34,0,0,0,0.82,4.93,0,0,8.21,0,0,0.82,1.64,0,0,0,0,0,11.49,0,0,4.93,112.46,0.82,0,0,0,0,0,0,0,0,21.34,0,3.28,0
 36-46,0,0,0,0,0.81,0,0,7.25,0,0,0,3.22,0,0,0,0,0,10.47,0,0,0.81,34.64,0,0.81,0,0,0,0,0,0,0,5.64,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,17.79,0,0,0.57,5.16,0,0,0,0,0,9.75,0,1.15,2.3,34.43,0,0,0.57,0,0.57,0,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0.98,0,0,17.67,0,0,0,7.85,0,0,0,0,1.96,6.87,0,0,0.98,29.45,0,0,0.98,0,0,0,0,0,0,3.93,1.96,1.96,0
 72-82,0,0,0.98,0,1.96,0,0,24.54,0,0,0,9.82,0.98,0,0,0,0.98,14.72,0,0,1.96,26.5,0,1.96,0,0,0,0,0,0,0,2.94,0,0.98,1.96
 84-94,0,0,0,1.06,1.06,0,0,10.62,1.06,0,0,3.19,0,0,0,1.06,0,6.37,1.06,0,2.12,8.5,0,0,0,0,0,0,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,3.28,0,0,0,0,0,5.46,0,1.09,1.09,14.21,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,0.77,5.36,0,0.77,0,3.83,0.77,0,0,0,0,7.66,0,0,0,10.72,0,0.77,0,0,1.53,0,0,0,0,0.77,0,0.77,0
120,0,0,1.96,0,3.92,0,0,1.96,0,0,0,1.96,1.96,0,1.96,0,0,5.88,0,0,0,15.68,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
