stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,5,0,0,8,0,0,0,1,0,1,4,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,31.19,0,0,0,1.64,4.93,0,0,20.52,1.64,0.82,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0.81,29,1.61,0,0,0.81,0,0,4.83,0,0,0
 48-58,0,0,1.15,0,0,1.72,0,0,1.15,0,0,0,0,0,0,0,0,3.44,0.57,0,1.15,21.23,0,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0.98,0,0,5.89,0,0,1.96,0.98,0,0,0,0,0,0,0,1.96,0,0,0,26.5,0.98,0.98,0,0,0,0,6.87,0,0,0
 72-82,0,0,0.98,0,0.98,2.94,0,0.98,0.98,28.47,0.98,0.98,0,1.96,0,0,0,1.96,0,0,0.98,20.61,0,0,0,0,0,0,2.94,0.98,0.98,0.98
 84-94,0,0,2.12,1.06,1.06,9.56,1.06,0,0,54.16,0,1.06,0,7.43,0,0,0,4.25,0,0,0,14.87,0,1.06,0,2.12,1.06,0,2.12,3.19,0,1.06
 96-106,0,0,12.02,1.09,1.09,6.56,0,0,6.56,151.91,0,0,1.09,3.28,0,2.19,0,6.56,3.28,0,0,14.21,1.09,0,0,3.28,0,0,0,10.93,0,3.28
108-118,0,0,9.96,0.77,6.89,3.83,0.77,0,3.06,182.3,0,0.77,0,3.83,0.77,0,0.77,4.6,3.06,0.77,0.77,25.28,1.53,0.77,0,0.77,0,0,0.77,16.09,0,3.06
120,0,0,5.88,1.96,0,7.84,1.96,3.92,1.96,76.43,0,0,0,1.96,0,0,1.96,3.92,7.84,0,0,17.64,1.96,0,1.96,0,0,0,0,5.88,0,1.96
