stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,39.43,2.63,0,0,28.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,3.15,0,0,0
 14-21,0,0,2,3,0,1,0,1,0,0,0,0,0,1,2,14,0,0,0,0,0,3,0,2,4,0
 24-34,0,0,0,3.28,0.82,6.57,0.82,0,0,0,0.82,0,0,1.64,0.82,87.01,0,0,0,0,1.64,0,0,0,12.31,1.64
 36-46,0,0,0,0,0,25.78,0,0.81,0,0,0,0.81,0.81,2.42,0.81,38.67,0.81,0,0,0,1.61,0,0,0,15.31,0
 48-58,0,0,0,0.57,0,37.87,0,2.87,0,0,0,0,0,8.61,1.15,26.4,0,0,1.15,0,0.57,0,0,0,4.02,0.57
 60-70,0,0,0,2.94,0,31.41,0,1.96,0,0,0,0,0,4.91,0.98,25.52,0,0,0.98,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.98,0,5.89,0,0.98,0,0,0.98,0,0,2.94,0.98,11.78,0,0.98,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,15.93,0,3.19,0,0,0,0,0,3.19,1.06,4.25,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,4.37,0,1.09,0,1.09,0,0,0,4.37,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,7.66,0,0,0,0,0,0,0,0.77,0.77,4.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,1.96,17.64,0,0,0,0,0,0,0,0,0,1.96
