stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,heart,ionocyte,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,487.58,10529.17,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0
  5-6,177.76,2758.34,0,0,0,0,0,0,0,0,91.94,6.13,0,0,42.91,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,28.92,0,0,2.63,0,31.54,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,15.73,0
 14-21,0,0,0,2,0,0,1,0,0,0,4,1,1,0,0,6,1
 24-34,0,0,0,0,0,0.82,0.82,0,0.82,0,4.93,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,1.15,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
