stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,5,1,0,2,0,2,0
 24-34,0,0,0,3.28,0,1.64,0,0,0,0,0,0,0,2.46,0.82,0,3.28,3.28,0,0,18.88,0,0.82,0.82,0,4.1,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0.81,0,1.61,0.81,0,0,24.17,0,0,0.81,0,0.81,0
 48-58,0,0,0,1.15,0.57,0.57,2.3,0,0,0,0.57,0,0,0,0,0.57,2.3,0.57,0,0,9.75,0,0,2.3,0,1.72,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0.98,0,0,12.76,0,0,0,0.98,1.96,0
 72-82,0,0,0,0,0.98,0,2.94,0.98,0,0,0,1.96,0,0.98,1.96,0,2.94,0.98,0,0,11.78,0,0,0,0.98,1.96,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0,1.06,0,0,0,42.48,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,3.28,1.09,2.19,0,0,2.19,1.09,1.09,0,34.97,0,0,0,0,1.09,1.09
108-118,0,0,0,2.3,0.77,0.77,0,0,0.77,0,0,0,0,1.53,0,0,1.53,0,0,0,20.68,0,0,0,0,0,0
120,0,0,0,9.8,0,3.92,0,0,3.92,0,0,1.96,0,1.96,0,0,5.88,0,0,0,39.2,0,0,0,0,0,0
