stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,26,1,0,0,0,0,4,0,0,0,2,12,0,0,0,0,0
 24-34,0,0,1.64,34.48,0,13.95,0,0,0,0,0,0,0,2.46,0,0.82,0,0,10.67,0,0,6.57,143.65,0.82,2.46,3.28,0,0,1.64,0,2.46,0,0.82,37.76,0,0,1.64,0,0
 36-46,0,0,0,10.47,0,8.86,0.81,0,0,4.03,0.81,1.61,0,0.81,0,1.61,0,0,20.95,0,0,6.45,326.3,0,8.86,5.64,0,0,3.22,0,1.61,0,0,62.84,0,0,2.42,0,0
 48-58,0,0,0,12.62,0.57,34.43,0,0,0,20.08,1.72,0.57,0,0,0,0.57,0,0.57,59.1,0.57,1.15,3.44,584.71,0.57,0,4.02,0,0,0,0,2.87,0.57,0,88.94,0,0,2.3,0,1.72
 60-70,0,0,0,12.76,0,91.28,0.98,1.96,0.98,39.26,0.98,0.98,0,1.96,0.98,1.96,0,0.98,72.63,0.98,0,0.98,847.05,0,3.93,1.96,0,0,0,0,2.94,0,0,88.34,0.98,0,2.94,0,0
 72-82,0,0,2.94,15.71,0.98,162.96,0.98,0.98,3.93,52.03,0.98,0,0,0,1.96,0.98,0,0,98.17,0,0.98,7.85,761.77,0,11.78,5.89,0,0.98,1.96,0,3.93,0,0,68.72,1.96,0.98,1.96,0.98,0
 84-94,0,0,1.06,19.12,5.31,111.51,1.06,0,0,21.24,6.37,1.06,5.31,3.19,2.12,4.25,1.06,0,56.29,0,0,4.25,379.15,0,5.31,9.56,0,0,3.19,0,9.56,0,0,43.54,7.43,0,4.25,0,0
 96-106,0,0,0,26.23,1.09,100.54,3.28,0,1.09,29.51,4.37,0,2.19,0,0,3.28,1.09,0,56.83,1.09,1.09,4.37,300.53,0,6.56,7.65,0,0,8.74,0,4.37,0,0,19.67,10.93,0,4.37,0,0
108-118,0,0,0,22.21,0.77,85.02,0,0,0.77,26.81,4.6,0,1.53,3.06,0.77,3.83,0,0,36.77,0,0,1.53,312.51,0,2.3,6.89,0,0,3.83,0,7.66,0,0,7.66,9.96,0.77,5.36,0,0
120,0,0,0,33.32,0,68.59,0,3.92,0,29.4,9.8,1.96,0,1.96,1.96,7.84,0,1.96,29.4,0,3.92,1.96,397.84,1.96,7.84,13.72,0,1.96,1.96,1.96,11.76,0,0,17.64,9.8,1.96,0,1.96,0
