stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,15.6,0,0.82,0,2.46,0,0,2.46,0,0
 36-46,0,0,0,5.64,0,0,0.81,0,0.81,0,0,0,0,17.72,0,0,0,1.61,0,0,3.22,0,0
 48-58,0.57,0,0,6.89,0,0,1.72,0,0.57,2.3,0.57,0,0,26.97,0,0.57,0.57,0.57,0,0,1.72,0,0.57
 60-70,0,0,0,12.76,0,0,2.94,0,0,3.93,0,0.98,0,52.02,0,0,0,0.98,0,0,3.93,0.98,0
 72-82,0,0,0,8.83,0,0.98,4.91,0.98,1.96,2.94,0,0,0.98,52.03,0.98,0.98,0,0,0,0,4.91,0,0
 84-94,5.31,1.06,0,9.56,1.06,2.12,1.06,0,0,2.12,0,0,0,15.93,0,0,0,0,0,0,4.25,1.06,0
 96-106,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,14.21,0,0,1.09,3.28,1.09,0,0,0,0
108-118,3.06,0,0.77,2.3,0,0,0.77,0,0,2.3,0,0.77,0,22.21,0,0,0,1.53,0,0,0,0,0
120,1.96,0,0,3.92,0,0,1.96,3.92,0,3.92,0,0,0,15.68,0,0,0,5.88,0,0,0,0,0
