stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,184.01,15.77,0,160.35,0,0,0,0,0,0,0,0,0
 10-12,15.73,22.03,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,437.43,28.32,0,368.2,0,3.15,0,28.32,3.15,0,0,0,0
 14-21,0,0,10,2,32,0,0,8,0,1,0,0,0,5,0,5,550,12,0,54,9,0,87,1,30,124,0,0,0
 24-34,0,0,1.64,0.82,70.59,1.64,2.46,9.03,0,0.82,0.82,0,0,15.6,0,4.1,797.05,4.93,2.46,0.82,12.31,0,0,0,15.6,134.62,0,0.82,0.82
 36-46,0,0,3.22,0,56.4,0,1.61,38.67,0,0,0,0,0,12.09,0.81,3.22,369.8,0.81,1.61,0,15.31,0,0,0,0,112.79,0,0.81,0
 48-58,0,0,1.72,0.57,39.59,0,3.44,65.41,0,0,0,0,0,6.89,0,0.57,115.91,0,1.15,0,5.74,0,0,0,0,79.76,0,0,0.57
 60-70,0,0,0,0,34.35,0,0.98,90.3,0,0,0,0,0,5.89,0,1.96,50.06,0,1.96,0,2.94,0,0,0,0,30.43,0,0,0
 72-82,0,0,1.96,2.94,19.63,0,4.91,107,0,0,0,0,0,2.94,0,0,50.06,0,4.91,0,2.94,0,0,0,0,11.78,0,0,0
 84-94,0,0,0,0,14.87,0,3.19,66.91,0,0,0,0,1.06,5.31,0,0,24.43,0,3.19,0,5.31,0,0,0,0,4.25,0,0,0
 96-106,0,0,1.09,0,14.21,0,2.19,51.36,1.09,0,0,1.09,0,0,0,0,29.51,0,1.09,0,4.37,0,0,0,0,3.28,0,0,0
108-118,0,0,0.77,0,9.96,0,3.83,49.02,0,0,0,1.53,0,3.06,0,0,28.34,0,2.3,0,1.53,0,0,0,0,1.53,0.77,0,0
120,0,0,1.96,0,11.76,0,0,43.12,0,0,0,0,0,7.84,0,0,23.52,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0
