stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0,0,0,6.45,0.81,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,2.3,0,2.3,0,0,0,0,0,0,2.3,0,0,0.57,4.02,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,8.83,0,5.89,0,0,0,0,0.98,2.94,5.89,0,0.98,0,8.83,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0.98,43.19,0,7.85,0,0.98,0,0,0,0,30.43,1.96,0,0,17.67,0.98,0,0,0,0,0,2.94,0,0,0,0
 84-94,0,4.25,21.24,0,3.19,0,1.06,0,1.06,0,10.62,143.38,0,0,0,4.25,2.12,0,0,0,0,0,2.12,2.12,1.06,0,1.06
 96-106,0,4.37,32.79,0,5.46,1.09,3.28,2.19,0,0,5.46,217.48,6.56,0,0,25.14,0,0,0,1.09,0,0,1.09,6.56,0,3.28,0
108-118,0,4.6,17.62,0.77,5.36,0,0.77,0,0,0.77,5.36,445.02,3.06,0,0,21.45,0,0,0.77,1.53,0,0,0,5.36,0.77,1.53,0
120,0,5.88,25.48,0,5.88,0,0,0,0,0,7.84,233.21,3.92,0,0,11.76,0,0,1.96,0,0,0,0,3.92,0,1.96,0
