stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,1,4,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,1.64,1.64,5.75,0,0,0,0,0,0,0,0,4.93,0,0,1.64
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,2.42,0.81,9.67,0,0,0,0,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,0,0.57,0,0,2.87,0.57,2.3,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57
 60-70,0,0,0,0,4.91,3.93,0.98,0,0,0,0,3.93,0,5.89,0.98,0.98,0,0,0,0,0.98,0,1.96,0,0.98,2.94
 72-82,0,0,0,0,15.71,2.94,2.94,0,3.93,0,0,3.93,0,5.89,0.98,0,0,0,0,0,0.98,0,0,0.98,0,4.91
 84-94,0,0,1.06,0,5.31,9.56,0,0,3.19,0,2.12,5.31,2.12,2.12,0,0,0,0,0,0,2.12,0,0,2.12,0,3.19
 96-106,0,0,0,0,14.21,15.3,2.19,0,8.74,2.19,0,2.19,0,10.93,0,0,0,0,0,0,0,0,0,0,0,7.65
108-118,0,0,0,0,9.19,12.26,2.3,0.77,11.49,0,0.77,5.36,0,3.06,0,0,0,0.77,0,0,0,0,0,0.77,0,3.83
120,0,0,0,1.96,5.88,9.8,0,0,7.84,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
