stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,31,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,3,10,52,0,0,1,0,0,1,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,25.45,2.46,94.4,0,0.82,2.46,0,0.82,0,1.64,0,0,0.82,0.82,0,0.82,215.89,0,0,19.7,62.39,57.46,0,3.28,0,0,0.82,0,7.39,1.64,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,15.31,0.81,46.73,0.81,0.81,20.14,0.81,0,0,3.22,0,0,0.81,0,0,0,389.94,1.61,2.42,37.06,42.7,34.64,0,4.03,0,0.81,0,0,22.56,0.81,16.92,0,0,0.81,0,0.81
 48-58,0.57,0,0,0,5.74,0,33.28,3.44,1.15,33.85,0,0,0,2.3,0,0,0,0,0.57,0,348.3,0,1.72,21.8,31.56,10.33,0,3.44,0,1.15,0.57,0,45.33,0,13.2,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,19.63,8.83,0,35.33,1.96,0,0,0,0,0,0,0,0,0,341.57,0,5.89,15.7,23.56,0.98,0.98,4.91,0,0,0.98,0,35.33,0,9.82,0,5.89,1.96,2.94,0
 72-82,0,0,0,0.98,2.94,0,30.43,9.82,0,45.16,2.94,0,0,0,0,0,0,0,0.98,0,412.3,0,1.96,15.71,24.54,3.93,0.98,4.91,0.98,0,0,0,22.58,0,4.91,0,4.91,1.96,2.94,0
 84-94,0,0,1.06,0,4.25,0,37.17,10.62,0,35.05,5.31,0,0,1.06,0,1.06,0,1.06,0,0,258.08,0,2.12,13.81,12.74,1.06,0,5.31,0,0,0,0,39.3,0,7.43,0,3.19,3.19,6.37,0
 96-106,0,0,0,0,3.28,0,20.76,26.23,1.09,18.58,2.19,0,0,1.09,3.28,1.09,0,1.09,0,0,264.47,0,9.84,13.11,31.69,0,0,7.65,0,1.09,2.19,0,40.44,0,1.09,0,3.28,3.28,3.28,0
108-118,0,0,0,0,2.3,0.77,15.32,19.92,0.77,19.15,1.53,0.77,0,0,2.3,0,0,0.77,0.77,0,213.7,1.53,5.36,13.02,13.79,0,0.77,9.19,0,1.53,2.3,0,42.13,0,3.83,0.77,1.53,0.77,0.77,0
120,0,0,0,0,0,0,9.8,23.52,0,17.64,0,0,0,0,1.96,0,0,0,0,0,158.74,0,0,13.72,19.6,0,0,3.92,0,0,3.92,1.96,15.68,0,3.92,0,1.96,0,3.92,0
