stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,15.77,0,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,178.75,2.63,0,0,57.83,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,9.44,0,6.29,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,229.73,9.44,0,0,88.12,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,4,11,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,0,13,102,2,1,3,2,0,0,0,5,2,1,7,30,0,2,0,0
 24-34,0,0,0,2.46,6.57,0.82,0,27.09,0,0,0,4.1,0.82,0,0.82,0,0,0,0.82,0,0.82,16.42,0,0,4.1,198.65,1.64,3.28,1.64,0,0,4.1,0,0,2.46,0,2.46,49.25,0,3.28,0,0
 36-46,0,0,0,0,2.42,0.81,0,37.06,0.81,1.61,1.61,7.25,0.81,0,0,0,0,0,0,0,0,16.11,0,0,10.47,194.97,0,3.22,0.81,0,0,6.45,0,0,0,0,0,46.73,0,4.83,0,0
 48-58,0,0,0,0,0.57,0.57,0,60.25,0,0,0,9.75,0,1.15,0,0,0,0.57,0,0.57,0,18.36,0,0,1.15,138.86,1.15,0,2.87,0,0,2.3,0,0,0,0,0,22.95,0,1.15,0,0.57
 60-70,0,0,1.96,0,1.96,0,0,86.37,1.96,0.98,0,11.78,0.98,0,0.98,0,0,0,0.98,0,0,20.61,0,2.94,0.98,185.51,0,1.96,1.96,0,0,3.93,0,0,0.98,0,0,23.56,0,0,0.98,0
 72-82,0,0,0,0,2.94,2.94,0,73.62,0.98,0.98,0.98,18.65,0,0,0.98,0,0,0,0.98,0.98,0,31.41,0.98,0,0.98,112.89,0,0.98,0.98,0,0,0.98,0,0,0,0,0,14.72,2.94,1.96,0.98,0.98
 84-94,0,0,1.06,0,11.68,3.19,0,48.85,1.06,1.06,3.19,9.56,1.06,0,0,2.12,1.06,0,0,1.06,1.06,26.55,1.06,0,3.19,63.72,1.06,1.06,0,0,0,7.43,0,0,0,0,0,7.43,1.06,7.43,0,1.06
 96-106,0,0,0,0,2.19,0,0,26.23,0,0,0,13.11,1.09,0,0,0,0,0,0,0,0,20.76,2.19,3.28,0,37.16,0,3.28,0,0,0,5.46,0,0,0,0,0,6.56,0,3.28,2.19,0
108-118,0,0,0,0,1.53,0.77,0.77,25.28,0,2.3,0.77,5.36,0,0,0,0.77,0,0.77,0,0,0,13.79,0.77,2.3,0.77,51.32,0,1.53,3.06,0,1.53,3.06,0,0,1.53,0,0,2.3,0,2.3,0,0
120,0,0,0,0,7.84,0,0,39.2,0,5.88,0,5.88,0,0,0,0,1.96,0,1.96,0,0,15.68,0,1.96,1.96,72.51,0,0,0,0,0,5.88,0,0,1.96,0,0,1.96,0,1.96,0,1.96
