stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,4.1,0,1.64,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,0,1.72,0.57,0,1.15,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,4.91,0,0.98,0,0,0,3.93,0,0.98,0.98,0,1.96,0,0.98,0,0
 84-94,0,1.06,1.06,0,1.06,0,0,0,1.06,1.06,1.06,0,0,1.06,0,1.06,2.12,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0.77,1.53,0,1.53,1.53,0.77,0.77,0,0,0,0.77,0,2.3,0,0,0,1.53
120,0,1.96,1.96,1.96,0,0,0,0,5.88,0,0,0,0,1.96,0,1.96,1.96,0
