stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,pronephros,spinal_cord,taste,xanthophores
 14-21,0,1,0,1,0,1,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0.81,0,0.81,0,0.81
 48-58,0,0.57,0,1.15,0,0,0,0.57,0,0,0,0,0
 60-70,0.98,0,2.94,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,2.94,0,0,0.98,0,0.98,0,0.98,0,0,0
 84-94,1.06,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,1.09,1.09,0,0,1.09,0
108-118,0,0.77,0,0,0.77,0.77,0,1.53,0,1.53,0,2.3,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
