stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,7.89,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,2,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,36,0,0,0,1,0,0,0,3,0,3,5,0,19,0,0
 24-34,0,0,0,3.28,0.82,6.57,0,0,0.82,0,0,1.64,0,0,0,0,0,5.75,15.6,0,4.1,81.26,0,0,0,0,0,0,0,0,0,0,6.57,0,59.1,0,0.82
 36-46,0,0,0,0.81,0,7.25,0,0,5.64,0,0,1.61,3.22,0,0,0,0,4.03,29,0.81,3.22,217.53,0,0.81,0,0,0,0.81,0,0,0,0,10.47,0,47.53,0,0
 48-58,0,0,0,0.57,0,13.2,0.57,0.57,9.18,0,0,0,5.16,0,0,0,0,5.74,16.07,0.57,0,316.17,0,0,0,0,0,0,0,0,0,0,20.08,0,26.97,0,0
 60-70,0,0,0,1.96,0,33.37,0,0,13.74,0,0,0,4.91,0,0.98,0,0,2.94,36.32,0.98,2.94,682.16,0.98,0,0,0,0,0,0,0,0,0,30.43,2.94,44.17,0,0
 72-82,0,0,0,2.94,0,35.34,0,1.96,9.82,0,0,4.91,9.82,0.98,3.93,0,0,0.98,67.73,4.91,1.96,511.45,0,0,0,0,0,2.94,0,0,0,0,21.6,1.96,75.59,1.96,0.98
 84-94,0,0,0,4.25,3.19,45.67,0,0,11.68,0,0,1.06,16.99,0,4.25,0,0,6.37,44.61,3.19,3.19,285.69,0,0,0,0,0,1.06,0,0,0,0,10.62,1.06,53.1,2.12,0
 96-106,0,0,0,2.19,3.28,33.88,0,0,10.93,0,0,5.46,39.34,0,3.28,0,1.09,3.28,33.88,2.19,1.09,216.38,0,0,1.09,0,0,1.09,0,0,1.09,0,6.56,1.09,54.64,3.28,1.09
108-118,0,0,0,3.06,0.77,16.09,0,0,10.72,1.53,0,3.06,26.81,0,11.49,0,0,3.06,40.6,3.83,2.3,245.11,0,0,0,0,3.06,0,0,0,0,0,3.83,0,39.06,1.53,0.77
120,0,0,0,0,1.96,11.76,0,0,5.88,0,0,1.96,27.44,0,1.96,1.96,0,0,31.36,0,3.92,184.22,0,0,1.96,0,1.96,0,0,0,0,0,7.84,1.96,33.32,1.96,0
