stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,5.26,7.89,0,0,31.54,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,205.04,39.43,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,15.73,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.82,81.82,0,0,62.94,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,139,13,7,0,7,0,61,5,0,1,0,1,0,0,5,2,62,0,0,36,144,116,2,13,14,0,0,0,22,44,20,283,0,0,3,0,0
 24-34,0,0,0,41.86,1.64,6.57,0,21.34,5.75,36.94,1.64,0,6.57,0,3.28,0,1.64,3.28,2.46,87.01,0,0,61.56,129.7,54.18,0,6.57,0,0,1.64,0,0,4.93,10.67,124.77,0,0,12.31,0,1.64
 36-46,0,0,0,16.11,0,16.11,0,8.86,18.53,45.92,0,0,6.45,0,0,1.61,0,0,2.42,142.6,0.81,2.42,59.62,125.68,47.53,0,4.03,0,0,5.64,0,0.81,6.45,0,98.29,0,0,7.25,0,3.22
 48-58,0,0,0,9.75,0,18.36,0,5.16,25.82,43.04,0,0,1.72,0.57,0,0,0.57,0.57,5.16,293.79,0,4.02,43.61,61.97,32.71,1.15,7.46,0,0.57,4.59,0,0,0.57,0,61.97,0,1.15,5.16,0,3.44
 60-70,0,0,0,10.8,0,23.56,0,2.94,22.58,45.15,0,0,0.98,0,0,5.89,1.96,0,2.94,473.09,0,6.87,28.46,52.02,19.63,0.98,9.82,0,0.98,4.91,0,0,2.94,0,20.61,0,3.93,3.93,2.94,0.98
 72-82,0,0,0,9.82,0,23.56,0.98,0.98,17.67,34.36,0,0,2.94,0.98,4.91,6.87,3.93,0,0,538.93,0,7.85,27.49,53.99,17.67,0.98,9.82,0,4.91,0.98,0,0,3.93,0,10.8,0.98,8.83,14.72,6.87,1.96
 84-94,0,0,0,12.74,1.06,22.3,0,3.19,20.18,25.49,4.25,0,1.06,6.37,4.25,5.31,2.12,0,5.31,438.62,1.06,5.31,12.74,28.68,25.49,6.37,12.74,0,2.12,8.5,1.06,0,2.12,0,10.62,0,10.62,7.43,7.43,4.25
 96-106,0,0,0,12.02,0,19.67,0,3.28,12.02,31.69,3.28,0,6.56,5.46,7.65,5.46,3.28,0,0,228.4,0,1.09,15.3,30.6,14.21,3.28,13.11,0,1.09,2.19,0,0,2.19,0,7.65,1.09,1.09,6.56,7.65,2.19
108-118,0,0,0,6.89,0,11.49,0,0.77,9.96,22.98,1.53,0,0.77,4.6,4.6,16.85,1.53,0,0,134.04,0,2.3,9.96,37.53,11.49,2.3,10.72,0,0.77,3.06,0,0,3.06,0,6.89,0,4.6,8.43,1.53,3.06
120,0,0,0,9.8,0,5.88,0,1.96,0,3.92,0,0,1.96,1.96,3.92,1.96,1.96,1.96,0,60.75,0,5.88,1.96,23.52,9.8,1.96,5.88,0,1.96,0,0,0,0,0,3.92,0,3.92,0,3.92,0
