stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0.82,0,0,0,0.82,3.28
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,4.03
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0.57,11.48,0,0,0,0,0,0,0,3.44
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,12.76,0.98,0,0,0,0,0,0,4.91
 72-82,0,0,0.98,6.87,0,0,0,0,0,0,0,0.98,0,20.61,0,0,0,0,0,0,0,5.89
 84-94,0,0,1.06,2.12,1.06,0,1.06,0,0,1.06,0,1.06,0,15.93,0,0,0,0,0,0,0,2.12
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,0,0,1.09,0,13.11,0,0,0,0,0,0,0,1.09
108-118,0,0,0,3.06,0,0.77,0,0,0,0,0,0,0,16.85,0,0,0,0,0,0.77,0,0.77
120,0,0,0,5.88,0,0,1.96,0,1.96,0,0,0,0,25.48,0,0,0,0,0,0,0,1.96
