stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,2,2,1,0,0,0,0,9,0,0,0,0,1
 24-34,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,28.73,0,13.13,1.64,0,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,1.61,0.81,0,1.61,0.81,0,0,0,0.81,0,0,3.22,1.61,1.61,37.87,0,19.34,0.81,0,0,0,0.81,12.89,0,0,0,0,0
 48-58,0.57,0,0,0,0,0,4.02,0,0,0.57,0,0,0.57,0,0,0,0,2.3,1.72,1.72,24.1,0,17.21,0,0,0,0,0,1.72,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0,4.91,0,0.98,9.82,1.96,0,0,0,0,0,0.98,14.72,16.69,0,32.39,0,24.54,0,0,0.98,0,0.98,3.93,0.98,9.82,0,5.89,0
 72-82,0,0,1.96,0,0,0,9.82,0,0,21.6,2.94,0,0,0,0,0,0,37.3,13.74,0,25.52,0,29.45,1.96,0,2.94,0,0.98,1.96,0,15.71,0,24.54,0
 84-94,0,0,0,0,1.06,0,16.99,0,0,14.87,8.5,0,0,0,0,0,0,12.74,20.18,0,15.93,0,22.3,5.31,0,1.06,0,0,1.06,0,13.81,0,18.05,0
 96-106,0,0,1.09,0,0,0,15.3,0,0,21.86,6.56,0,0,1.09,2.19,0,0,18.58,15.3,3.28,17.49,0,44.81,1.09,0,2.19,1.09,0,0,0,9.84,0,22.95,0
108-118,0,0,0.77,1.53,3.06,0,18.38,0,0.77,13.02,13.02,0,0,0,0.77,0.77,0,7.66,13.02,0,16.85,0.77,26.04,3.83,0,3.06,1.53,0.77,0,0,5.36,0,9.19,0
120,0,0,3.92,0,0,0,9.8,0,0,1.96,19.6,0,0,0,0,0,0,13.72,21.56,1.96,17.64,0,25.48,3.92,0,3.92,0,1.96,0,0,5.88,1.96,13.72,0
