stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,2.46,0,0,1.64,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,1.61,0,0.81,0.81,0,0,0,0,0,0,1.61
 48-58,0,0.57,0,0.57,0.57,0,4.02,0,0.57,0.57,0,0,0,0,0,1.15,1.72
 60-70,0,0,0,0,0,0,2.94,0,0,1.96,0.98,0,0,0,1.96,0,4.91
 72-82,0,0,0,0,0,0,11.78,4.91,0,0,0,0,0,0,0.98,1.96,4.91
 84-94,0,0,0,1.06,0,0,9.56,2.12,0,0,0,1.06,0,2.12,0,2.12,6.37
 96-106,0,0,1.09,1.09,0,0,14.21,3.28,0,1.09,0,0,0,1.09,0,0,2.19
108-118,0,1.53,0.77,0,0.77,0.77,6.89,9.96,0,0.77,0.77,0,0,1.53,0,1.53,2.3
120,0,0,1.96,0,0,0,9.8,11.76,0,1.96,0,0,1.96,0,0,0,3.92
