stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,92.25,1344.15,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0
  5-6,42.91,612.96,0,0,0,0,0,0,6.13,0,0,18.39,0,0,0,0,0
  7-9,0,5.26,13.14,0,0,10.51,0,5.26,162.98,0,49.95,0,2.63,0,0,0,0
 10-12,0,3.15,6.29,0,0,6.29,0,0,50.35,3.15,18.88,0,6.29,0,3.15,0,0
 14-21,0,0,0,2,1,0,0,0,4,0,0,0,0,1,0,1,1
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0
