stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,2,36,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,333.27,0,2.46,0,0,0.82,0,0,0,105.89,0,0,0,0,0
 36-46,0,0,1.61,0,13.7,0,1.61,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0.81,676.76,0.81,7.25,0,0,0.81,0,0,0,172.41,0,0,0,0,0
 48-58,0,0,2.87,0,83.78,0,0.57,1.72,6.31,0,0,0,0,0,0.57,0,8.61,0,0,2.3,1100.56,0,4.02,0.57,0,2.87,0,0.57,0,172.14,0,0,0,0,2.3
 60-70,0,0,4.91,0,267.96,0,0,0.98,19.63,0,0,0,0,0,0,0,7.85,0,0,2.94,1974.82,0,4.91,1.96,0,4.91,0.98,0,0,238.51,0,0.98,0.98,0,0.98
 72-82,0,1.96,15.71,4.91,454.51,0.98,0.98,1.96,52.03,0.98,2.94,2.94,0,1.96,0,0,37.3,0,1.96,1.96,2685.83,0,15.71,1.96,0,2.94,0,0,0,200.26,0,0,7.85,0,3.93
 84-94,0,1.06,16.99,3.19,350.47,0,0,2.12,43.54,0,0,2.12,1.06,2.12,2.12,1.06,35.05,1.06,2.12,2.12,1391.27,1.06,12.74,4.25,0,3.19,0,0,0,132.75,1.06,1.06,1.06,1.06,0
 96-106,0,1.09,26.23,8.74,325.67,1.09,1.09,2.19,48.09,4.37,1.09,1.09,1.09,3.28,4.37,3.28,33.88,0,2.19,2.19,1324.53,2.19,22.95,7.65,0,9.84,0,0,0,53.55,1.09,0,2.19,3.28,4.37
108-118,0,0,14.55,3.83,229.79,1.53,0,0,42.13,1.53,0.77,0,1.53,1.53,0,1.53,29.11,0.77,0,4.6,1515.07,0,10.72,6.89,0,2.3,0,0,0,49.02,1.53,0,3.83,0.77,0.77
120,0,1.96,23.52,1.96,266.53,1.96,0,0,48.99,0,0,7.84,0,0,1.96,0,35.28,1.96,0,1.96,1777.53,0,9.8,1.96,0,7.84,1.96,0,0,76.43,0,0,3.92,0,0
