stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,mesenchyme,neural,presomitic.mesoderm,somites,spinal.cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,7.25,0,0,2.42
 48-58,0,0,0,0.57,0,0,4.59,8.03,0,0,0.57
 60-70,0,0,0,3.93,0,0.98,27.48,5.89,0,0,0
 72-82,0,0,0,2.94,0,0,44.17,10.8,0,0,0.98
 84-94,0,0,1.06,3.19,0,0,41.42,2.12,0,0,0
 96-106,0,0,0,2.19,0,0,22.95,7.65,0,0,0
108-118,0,0,0,0.77,0.77,0,12.26,7.66,0,0,0
120,0,0,0,5.88,0,0,21.56,7.84,0,0,0
