stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,89.38,7.89,0,26.29,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,28.32,0,0,3.15,0,0,0
 14-21,0,0,0,1,8,5,7,0,1,1,0,0,1,1,5,0,2,25,0,0,0,0,5,0,6,14,0
 24-34,0,0,0.82,0.82,0,0.82,1.64,0,0.82,0,0,0,0.82,0,2.46,0,0,10.67,0,0.82,0,0.82,0,0,0,2.46,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,0,13.7,0,0,0,0,0.81,0,0,4.03,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,1.15,0,0.57,5.74,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.3,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
