stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,11,0,3,0,0,0,1,0,0,0,43,0,0,0,0,0,1,0,0,3,21,2,0,1,1,0,5,1,5,0,2,13,0,0,0,0,0
 24-34,0,0,0,2.46,4.93,0,3.28,0,0,0,0.82,0.82,0,0,116.56,0.82,0,0,0,0,4.1,0.82,0,0.82,46.79,0,0.82,0,0,0,4.1,0,0,1.64,0.82,12.31,0,0,2.46,0,0
 36-46,0,0,0,0.81,0.81,0,3.22,0,0,0,4.03,0,0,0,156.3,0,0,0,0,0.81,2.42,0,0,2.42,56.4,0.81,1.61,0.81,0,0,1.61,0,0,0,0,16.92,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,14.92,0,0,0,2.3,0,0,0.57,167.55,0,0,0,0,0,4.59,0.57,0.57,0,49.35,0,1.15,0,0,0,1.15,0,0,0,0,9.18,0,0.57,0,0,1.15
 60-70,0,0,0,0.98,0,0,27.48,0,0,0.98,2.94,0,0,0.98,217.9,0,0,0,0,0,6.87,0,0.98,0.98,47.11,0,0.98,0.98,0,0,2.94,0,0,0,0,4.91,0,0,2.94,0,0
 72-82,0,0,0,0.98,2.94,0,14.72,0.98,0,0,4.91,0,0,0.98,288.61,0,0,0,0.98,0,10.8,0,0,0.98,39.27,0,0,0.98,0,0,0.98,0,0,0.98,0,2.94,0,0.98,3.93,0.98,0.98
 84-94,0,0,0,2.12,1.06,0,24.43,0,1.06,0,2.12,2.12,0,0,369.59,0,0,0,0,0,10.62,0,1.06,0,25.49,0,0,0,0,1.06,7.43,0,0,0,0,2.12,1.06,0,3.19,1.06,0
 96-106,0,0,1.09,5.46,6.56,0,17.49,1.09,2.19,0,4.37,3.28,0,0,445.88,1.09,0,1.09,1.09,0,17.49,2.19,0,4.37,26.23,0,2.19,1.09,0,2.19,7.65,0,0,0,0,4.37,0,0,19.67,0,2.19
108-118,0,0,0,4.6,6.13,0.77,21.45,0,0.77,0.77,6.89,1.53,0,0,356.94,1.53,0.77,0.77,0,0,9.19,0,1.53,0.77,36,0.77,0,0.77,0,0.77,7.66,0,0,0.77,0,1.53,0,0,6.13,1.53,0
120,0,0,0,7.84,7.84,0,11.76,1.96,0,0,7.84,1.96,0,0,548.74,0,0,1.96,0,0,5.88,0,1.96,0,39.2,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,0,9.8,0,0
