stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,202.28,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,49.95,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,0,0,0,1,5,0,0,0,65,0,0,0,0,9,0,0,9,0,1,0,0,106,1,2,1,2,0,0,0,0,0
 24-34,0,0,0,9.03,0,1.64,0,1.64,0,0.82,2.46,0,0,0,177.3,0,1.64,0,4.93,27.91,0,0.82,20.52,0.82,0,0,0,133.8,0,14.78,0,1.64,0,0,0,0,0
 36-46,0,0,0,5.64,0,2.42,0,1.61,0,0,2.42,0,0,0,67.68,0.81,0.81,0,4.83,8.86,0.81,0.81,12.89,4.83,0,0,0,88.62,0,7.25,0,1.61,0,0,0,0,0
 48-58,0,0,0,12.05,0,2.87,0,2.87,0.57,1.72,1.72,0,1.15,0,40.17,0,1.72,0,2.3,12.05,0,0,9.75,3.44,0,0,0.57,53.36,0,4.02,0,2.87,0,0,0,0,0
 60-70,0,0,0,18.65,0,4.91,0.98,3.93,0.98,0,4.91,0,0,0,48.09,0,5.89,0,3.93,4.91,0,0,12.76,3.93,5.89,0,0.98,33.37,0,6.87,0,0.98,1.96,0,0,0,0
 72-82,0,1.96,0,20.61,0,5.89,0,0.98,0,1.96,21.6,0.98,0,1.96,94.24,0,3.93,0,4.91,8.83,0,0.98,14.72,1.96,13.74,0,0.98,13.74,0,6.87,0,0,6.87,0,0,0,0
 84-94,0,4.25,2.12,58.41,0,5.31,0,5.31,0,7.43,76.47,2.12,0,1.06,185.86,1.06,7.43,1.06,5.31,9.56,0,0,6.37,8.5,9.56,0,0,46.73,0,32.92,0,2.12,40.36,0,0,1.06,0
 96-106,0,3.28,5.46,81.96,3.28,7.65,0,3.28,0,1.09,119.12,1.09,0,3.28,217.48,0,19.67,5.46,6.56,7.65,1.09,0,21.86,17.49,20.76,0,1.09,20.76,0,19.67,0,0,52.46,1.09,0,0,0
108-118,0,2.3,13.02,55.15,0.77,4.6,0,0,0,3.83,121.79,0,0,0.77,173.87,0.77,10.72,3.83,6.13,12.26,0.77,0,25.28,9.19,36,0,0,12.26,0,22.98,0,0,44.43,0,0.77,0,0.77
120,0,0,1.96,39.2,0,1.96,0,1.96,1.96,0,54.87,0,0,0,86.23,0,9.8,1.96,7.84,3.92,0,0,17.64,7.84,13.72,0,0,5.88,0,15.68,0,1.96,17.64,0,0,0,0
