stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,8,9,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,2,10,0,3,6,0,0,13,0,0
 24-34,0,0.82,4.93,0.82,0,1.64,4.93,0,0.82,1.64,0,6.57,0,0.82,4.1,0,6.57,0,0,4.1,14.78,0.82,0.82,0.82,0,0,39.4,0,0,16.42,0,0,8.21,0,0,58.28,0,0
 36-46,0,0,1.61,0,0,0.81,3.22,0,0,0,0.81,2.42,0,0,1.61,0,12.89,0,0,9.67,13.7,0.81,1.61,0.81,0,0,21.75,0,0,8.06,0,0,2.42,0,0.81,54.79,0,0
 48-58,0,0,1.15,0.57,0,1.72,2.87,1.15,4.02,0.57,0,6.89,0,0,4.02,0.57,14.35,0,0,0.57,9.18,0,0.57,0.57,0,0.57,9.75,0,0,5.74,0,0,2.87,0,0,38.44,0,0
 60-70,0,0,4.91,0,0,4.91,3.93,0,13.74,0,0.98,2.94,0,0,5.89,0,17.67,0.98,0,1.96,3.93,0,0,3.93,0,0,18.65,0,0,7.85,0,0,0.98,0,0,54.97,0,0
 72-82,0,0,0.98,0.98,0,9.82,1.96,1.96,29.45,0,0.98,7.85,0,0,2.94,0.98,38.28,0.98,0,0.98,12.76,0,0,4.91,0,0,19.63,0,0,8.83,0,0,1.96,0,0.98,94.24,1.96,0
 84-94,0,0,6.37,0,0,20.18,5.31,3.19,15.93,3.19,0,5.31,0,2.12,5.31,2.12,30.8,1.06,0,1.06,6.37,0,4.25,11.68,0,0,56.29,0,0,23.36,0,0,2.12,1.06,0,84.96,1.06,0
 96-106,0,0,5.46,0,0,15.3,4.37,2.19,21.86,2.19,0,5.46,1.09,2.19,7.65,1.09,28.41,0,0,1.09,13.11,0,7.65,12.02,0,0,44.81,0,0,6.56,0,0,0,0,2.19,97.26,1.09,1.09
108-118,0,0,9.19,1.53,0.77,24.51,3.06,1.53,25.28,2.3,0,1.53,0,3.83,4.6,0.77,27.57,0.77,0,0.77,11.49,0,5.36,6.13,0,0,32.94,0,0,9.19,0.77,0,0.77,0,0,76.6,1.53,0
120,0,0,7.84,3.92,0,7.84,5.88,0,39.2,3.92,0,5.88,0,1.96,3.92,3.92,17.64,1.96,1.96,0,7.84,0,5.88,11.76,0,0,41.16,0,0,9.8,0,0,1.96,0,0,78.39,0,0
