stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2727.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0
  5-6,24.52,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,232.93,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,291.79,0,0,0,31.54,52.57,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,311.55,3.15,0,0,22.03,18.88,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,10,207,0,0,4,0,2,0,1,10,0,0,20,0,2,0,2,1,0,0,16,3,3,17,1,222,1,2,3,1,0,0,0,0
 24-34,0,0,1.64,3.28,30.37,0,0,1.64,0,2.46,0,0,0.82,0,0,18.06,0,5.75,0.82,4.93,9.03,0,0.82,30.37,1.64,22.16,13.13,0,320.95,0,0,7.39,4.93,0,0.82,0,0
 36-46,0,0,0,0.81,6.45,0.81,0,1.61,0,3.22,0,0,3.22,0.81,0,8.06,0,4.03,0,0.81,4.83,0,0.81,46.73,5.64,14.5,5.64,0,282.79,1.61,0,5.64,1.61,0,0.81,0,0
 48-58,0,0,0,0,13.2,0,0,2.3,0,3.44,0,4.02,0.57,7.46,0,1.72,0,5.74,1.15,2.3,5.16,0,0.57,27.54,1.72,14.35,6.31,0,170.42,0,0,1.15,2.87,0,0,0,0
 60-70,0,0,0.98,0,18.65,0.98,0,6.87,0,5.89,1.96,0.98,0.98,1.96,0,6.87,0,5.89,0.98,5.89,7.85,0,0,18.65,0.98,8.83,7.85,0,205.14,0,0,1.96,1.96,1.96,0.98,0,0.98
 72-82,0,0,2.94,0,38.28,0,0,7.85,0.98,4.91,0,1.96,16.69,3.93,1.96,23.56,0,8.83,0.98,2.94,14.72,0.98,0,35.34,2.94,30.43,23.56,0,303.33,0,0,0.98,3.93,6.87,1.96,0,0
 84-94,0,0,3.19,1.06,76.47,1.06,1.06,7.43,0,16.99,0,2.12,32.92,6.37,1.06,36.11,0,10.62,3.19,2.12,18.05,0,0,7.43,2.12,38.23,27.61,0,699.88,0,0,3.19,0,15.93,0,0,0
 96-106,0,0,6.56,0,149.72,1.09,1.09,8.74,1.09,21.86,0,2.19,37.16,1.09,4.37,55.74,0,19.67,4.37,8.74,33.88,0,2.19,29.51,5.46,67.76,40.44,0,677.56,1.09,0,2.19,0,56.83,3.28,2.19,2.19
108-118,0,0,3.06,1.53,176.94,0.77,4.6,7.66,0.77,40.6,0.77,0.77,49.02,0,1.53,45.96,0.77,6.89,6.89,12.26,27.57,0,1.53,32.17,5.36,32.94,28.34,0,618.13,0,0,2.3,0.77,64.34,0.77,0,0.77
120,0,0,1.96,1.96,107.79,0,0,3.92,0,19.6,0,0,39.2,0,1.96,19.6,0,11.76,5.88,3.92,19.6,0,0,17.64,5.88,21.56,15.68,0,372.36,0,0,0,0,15.68,1.96,0,0
