stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,144.96,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,67.43,1373.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,155.09,7.89,0,0,31.54,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,12,1,1,0,1,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0.82,0.82,0,0,0.82,1.64,0,0.82,4.1,0,0.82,0,0,4.93,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,0,15.31,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,6.31,0,0,0,0,1.72,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,3.93,0,0,0.98,0.98,0,0,0,0,0,0,9.82,0,0,0,0,4.91,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98,0,0.98,0,0,11.78,0,0,0,0,22.58,0,0,2.94,0,0,0,0
 84-94,0,0,1.06,0,6.37,0,0,3.19,0,2.12,1.06,0,0,0,0,0,0,0,10.62,0,0,0,0,39.3,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,6.56,1.09,0,1.09,0,2.19,0,0,0,0,0,1.09,0,1.09,2.19,0,0,0,0,54.64,1.09,0,3.28,0,0,0,1.09
108-118,0,0,0,0.77,6.89,0,0,4.6,0,1.53,0.77,0,0,0.77,0,0,0,0.77,9.96,0,0,0.77,0,37.53,1.53,0,3.06,0,0,0,0
120,0,0,0,0,3.92,1.96,1.96,1.96,0,0,0,0,0,0,0,1.96,1.96,0,7.84,0,1.96,1.96,0,29.4,0,0,0,0,0,0,0
