stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,6.29,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,761.57,3.15,0,0,47.2,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0
 14-21,0,1,0,26,15,0,17,0,0,0,10,1,0,0,1,0,0,0,1,0,118,0,0,192,1094,2,59,16,0,0,1,6,0,0,21,646,0,1,0,0
 24-34,0,0,1.64,18.06,7.39,0,137.9,0,1.64,9.85,19.7,0.82,1.64,0,0,0.82,0,0,1.64,0.82,370.21,0.82,0.82,194.54,3844.07,1.64,106.71,23.8,0,0,9.03,2.46,0.82,2.46,10.67,1047.41,0,7.39,0,0.82
 36-46,0,0,0.81,8.86,6.45,0,515.63,1.61,0.81,14.5,30.62,0,0.81,1.61,0.81,0,0,3.22,0,0.81,306.96,0.81,0,180.47,5194.96,1.61,48.34,5.64,0,0,8.86,0,0,0,0,1379.31,0,4.03,0,0.81
 48-58,0,0,0,16.07,0.57,0,665.61,0.57,1.15,9.75,87.22,0,0.57,0.57,1.15,0.57,0.57,1.72,0.57,0.57,311,1.15,1.15,98.12,3186.34,3.44,25.25,0.57,0,0,4.59,0,0,0,0,901.45,0,2.87,0,2.3
 60-70,0,0,0,1.96,0,0,405.37,0,0.98,3.93,55.95,0,0,0.98,2.94,0.98,0,0.98,0,1.96,161.95,0,0,70.67,1545.9,0,7.85,1.96,0,2.94,1.96,0,0.98,0,0,299.36,1.96,2.94,0,0
 72-82,0,0,0,7.85,3.93,0,187.5,0,0.98,7.85,25.52,0,0,0.98,2.94,0,0,0,0,0,116.82,0,1.96,66.75,863.86,0,11.78,0.98,0,3.93,0.98,0,0,0,0,84.42,3.93,0.98,0.98,0.98
 84-94,0,0,0,7.43,0,0,189.04,1.06,2.12,3.19,29.74,1.06,0,2.12,1.06,0,2.12,0,0,0,99.83,0,1.06,36.11,480.04,1.06,5.31,1.06,0,2.12,1.06,0,0,1.06,0,65.85,0,0,0,1.06
 96-106,0,0,0,9.84,1.09,1.09,110.38,1.09,0,4.37,24.04,1.09,0,0,0,0,0,0,0,0,72.13,0,1.09,22.95,363.92,1.09,19.67,1.09,0,2.19,3.28,0,0,0,0,21.86,0,3.28,1.09,0
108-118,0,0,0.77,3.06,1.53,0,78.13,0,0,3.83,11.49,0.77,0,0.77,2.3,0,0,0,0,0,49.02,0.77,0.77,26.04,468,0,17.62,0.77,0,6.13,0.77,0,0,0,0,9.96,0,0,0,0
120,0,0,0,7.84,0,0,103.87,0,0,0,17.64,0,0,0,0,0,0,0,3.92,0,21.56,0,0,13.72,342.96,0,13.72,1.96,0,7.84,1.96,0,0,0,0,1.96,0,0,0,0
