stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,hatching_gland,liver,mesenchyme,muscle,neural,periderm,slow_muscle,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,2.12,7.43,0,1.06,0,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,8.74,0,0,3.28,0,0,1.09,0,1.09
108-118,0,0,0.77,0,2.3,3.83,0,0,4.6,0,3.06,0,0.77,0
120,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0
