stage,blastomeres,endocrine_pancreas,erythrocytes,eye,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,6.29,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,2.42,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,2.3,0,1.53,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
