stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,9.44,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,65,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,9.85,0,0,0.82,0,0,6.57,0,0.82,99.32,0,0.82,0,1.64,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,1.61,0,4.03,0.81,0.81,0,0,0,3.22,0.81,0,77.34,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,2.87,0,0,2.87,0.57,0,0,4.59,0,0,0,0,0.57,4.02,0,0,92.38,0,1.15,0,0,0,0,0,0
 60-70,0,0,3.93,0,3.93,0,0.98,0,0,0,0.98,1.96,0.98,0.98,0,0,0,0,0,0,79.5,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,11.78,0,1.96,0,0,1.96,0,0,0,3.93,0.98,0.98,0,0,0,1.96,0,0,52.03,0,0,0,0,0,0,0,0
 84-94,0,0,10.62,0,0,0,1.06,1.06,1.06,0,0,6.37,0,0,0,0,0,0,0,0,175.24,0,0,0,0,0,1.06,0,0
 96-106,0,0,28.41,1.09,2.19,1.09,3.28,3.28,1.09,0,0,13.11,5.46,1.09,1.09,0,0,4.37,0,0,196.71,0,0,0,0,0,0,1.09,0
108-118,0,0,26.81,0,2.3,0,2.3,0,2.3,0,0,13.79,0.77,1.53,2.3,0,0,0.77,0,0.77,163.15,0,0,0,1.53,0.77,0,0,0
120,0,0,52.91,0,0,0,15.68,0,0,0,0,5.88,0,0,5.88,1.96,0,1.96,0,0,239.09,0,1.96,0,0,0,0,0,0
