stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,1,0,0,0,1,1,0,0,0,0,0,0,8,0,0,5,18,156,1,0,0,0,0,0,2,1,0,4,72,0,0,0,0
 24-34,0,0,0.82,2.46,0.82,0,2.46,0,3.28,2.46,0.82,0,4.1,0,0,0,0,0,30.37,0,0,19.7,26.27,116.56,0,0,0,0,0,0,0,0.82,0,1.64,74.7,0,0,2.46,0
 36-46,0,0,0,1.61,0,0,3.22,0,0,3.22,2.42,0.81,8.06,0,0,0,0,0,39.48,0,0.81,15.31,9.67,96.68,0,0,0,0,1.61,0,0,0,0.81,0,29,0,0.81,0,0
 48-58,0,0,1.15,1.72,0,0,6.31,0,1.72,8.03,5.74,0,14.35,0,0,0,0,0.57,148.04,0,1.15,13.77,6.89,60.82,0.57,0.57,0,1.72,0.57,0.57,0,0,0,0,39.59,0,1.15,2.87,0
 60-70,0,0,0,1.96,0,0,8.83,0,2.94,6.87,15.7,4.91,11.78,0,0,0,0,0,346.48,0,2.94,11.78,11.78,37.3,0,0,0,5.89,0,0,0,0.98,0,0,20.61,0,19.63,1.96,0
 72-82,0,0,0,3.93,0,0,32.39,2.94,3.93,11.78,29.45,11.78,19.63,0.98,0,0,0,0,645.93,0.98,5.89,22.58,26.5,37.3,0,3.93,0,9.82,1.96,0,0,0.98,0,0,15.71,0,32.39,2.94,5.89
 84-94,0,0,0,9.56,1.06,0,35.05,0,4.25,11.68,10.62,22.3,10.62,1.06,1.06,2.12,0,0,421.63,0,7.43,7.43,10.62,55.23,0,0,0,4.25,0,0,0,0,0,0,15.93,0,26.55,7.43,5.31
 96-106,0,0,0,12.02,1.09,1.09,27.32,1.09,3.28,13.11,22.95,9.84,22.95,2.19,1.09,1.09,1.09,0,516.92,0,12.02,12.02,26.23,41.53,2.19,5.46,0,12.02,2.19,0,0,0,0,0,14.21,2.19,29.51,13.11,6.56
108-118,0,0,0.77,20.68,0,0.77,28.34,0,3.06,9.19,16.85,7.66,13.02,0.77,1.53,0.77,0,0,439.66,1.53,12.26,6.89,24.51,40.6,0,2.3,0,5.36,1.53,0,0,0,0,0,8.43,0,21.45,9.96,6.89
120,0,0,0,15.68,1.96,0,15.68,3.92,5.88,5.88,11.76,0,5.88,1.96,0,0,0,0,348.84,0,5.88,31.36,23.52,58.79,0,7.84,0,3.92,0,0,0,0,0,0,9.8,0,21.56,1.96,5.88
