stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,2398.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1581.45,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,13.14,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,304.93,15.77,0,0,102.52,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,182.52,37.76,0,0,107,0,0,0,6.29,12.59,0,6.29,0,0,0,0,0
 14-21,0,1,1,25,7,7,0,0,0,1,2,0,2,10,0,0,0,0,2,49,0,0,19,45,4,0,1,1,0,1,0,18,0,2,11,27,0,3,0,8
 24-34,0,0,0,20.52,1.64,10.67,0,4.93,8.21,4.1,2.46,0,0.82,35.3,1.64,3.28,0,0.82,13.13,114.1,0,0,62.39,55.82,1.64,0,0.82,0.82,0,3.28,0,0,0,0,18.88,18.88,0,21.34,0,25.45
 36-46,0,0,0,8.06,0,7.25,0,2.42,24.17,8.06,0,0,4.83,42.7,0,8.86,0,0,12.09,192.55,0,1.61,54.79,27.39,0.81,0,0.81,0,0.81,2.42,0,1.61,0,0.81,0.81,12.09,0,7.25,0,33.84
 48-58,0.57,0,0,4.59,0.57,10.33,0,2.87,25.82,7.46,0,0,2.3,53.36,0,9.75,0,0,9.18,227.23,0,2.87,39.02,33.28,0.57,0,1.15,0,0.57,1.15,0,0,0.57,0.57,0,9.18,1.15,7.46,0,26.4
 60-70,0,0,0,12.76,0,2.94,0,8.83,23.56,15.7,0,0,0,52.02,0,11.78,0,0.98,7.85,280.72,0,8.83,27.48,27.48,0,0.98,0,0,0.98,2.94,0,0,0,0,0,3.93,3.93,11.78,1.96,31.41
 72-82,0,0,0,8.83,3.93,17.67,0,3.93,42.21,28.47,0.98,0,5.89,90.31,0,16.69,0.98,0,6.87,423.1,0,11.78,35.34,34.36,0.98,1.96,0.98,0,1.96,0.98,0,0,0.98,0,0,4.91,11.78,30.43,2.94,23.56
 84-94,0,0,0,15.93,0,27.61,1.06,7.43,23.36,12.74,1.06,0,4.25,106.2,0,26.55,0,1.06,10.62,253.83,0,6.37,13.81,15.93,0,1.06,0,0,0,4.25,0,0,0,0,0,1.06,8.5,18.05,10.62,13.81
 96-106,0,0,0,18.58,2.19,13.11,1.09,5.46,16.39,15.3,1.09,0,3.28,130.05,0,18.58,0,1.09,10.93,222.94,1.09,13.11,20.76,19.67,0,3.28,2.19,0,4.37,1.09,0,0,1.09,0,0,3.28,6.56,40.44,15.3,32.79
108-118,0,0,0,14.55,0.77,9.19,0,9.19,15.32,11.49,0.77,0,0.77,111.06,0.77,27.57,0,0,7.66,172.34,0.77,7.66,13.79,22.21,0,0,0.77,0,1.53,0.77,0,0,0.77,0,0,1.53,3.06,18.38,9.19,24.51
120,0,0,0,13.72,3.92,11.76,0,5.88,23.52,7.84,0,0,0,135.23,0,11.76,1.96,0,5.88,146.98,0,9.8,11.76,23.52,1.96,5.88,0,0,1.96,0,0,0,0,0,0,1.96,1.96,27.44,13.72,13.72
