stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,7,26,17,0,7,0,0,0,0,0,1,0,3,1,0,0,0,105,0,75,104,0,0,5,3,0,22,15,0,0,39,6,0,0,0,0,0
 24-34,0,0,2.46,9.85,13.95,0,20.52,0,0,4.1,2.46,0.82,2.46,0,0,2.46,4.1,0.82,0,305.36,0,115.74,104.25,1.64,1.64,4.93,0,0,45.15,0.82,0.82,0,3.28,11.49,0,0,9.85,0,0
 36-46,0,0,0.81,3.22,9.67,0,7.25,0,0,11.28,2.42,0,0.81,0.81,0,1.61,1.61,0,0,352.08,1.61,98.29,66.06,0.81,2.42,7.25,0,0,16.92,1.61,0,0,0,6.45,0,0,2.42,0,0.81
 48-58,0,0.57,0,2.87,22.38,0,13.2,0.57,0,21.8,5.16,0.57,1.15,0.57,0,0.57,0.57,0,0,382.15,3.44,55.66,42.46,0.57,0,8.61,0,0.57,10.33,0,0.57,0,0,3.44,0,0.57,4.59,0,0
 60-70,0,0,0,3.93,59.87,0.98,9.82,0.98,0.98,15.7,3.93,0,1.96,0,0.98,0,0,0,0,432.85,6.87,49.08,51.04,0,0,2.94,0,1.96,16.69,0,0,0,0,0.98,0,2.94,7.85,0.98,0
 72-82,0,1.96,0,2.94,247.38,0,35.34,0.98,1.96,32.39,5.89,0,3.93,0,0,0,1.96,0.98,0,560.53,17.67,63.81,49.08,0,0,13.74,0,1.96,18.65,0,0,0,0,8.83,0.98,7.85,8.83,9.82,0
 84-94,1.06,0,0,3.19,208.16,0,42.48,0,0,21.24,3.19,0,4.25,2.12,1.06,0,0,0,1.06,341.98,4.25,39.3,36.11,1.06,0,18.05,0,1.06,76.47,0,0,0,0,0,0,6.37,8.5,6.37,0
 96-106,0,2.19,0,12.02,260.1,0,26.23,1.09,1.09,12.02,6.56,3.28,6.56,0,0,1.09,1.09,1.09,0,335.5,8.74,32.79,69.94,0,3.28,22.95,0,3.28,57.92,0,0,0,0,1.09,0,6.56,5.46,9.84,0
108-118,0,2.3,0,9.96,177.7,2.3,19.15,0,1.53,13.02,3.06,2.3,4.6,0.77,3.06,0,2.3,0,0,310.22,6.13,32.17,45.19,0,0.77,20.68,0,4.6,47.49,0,0,0.77,0,0,0,0,6.13,3.83,0.77
120,0,5.88,0,11.76,150.9,3.92,23.52,0,1.96,15.68,0,0,1.96,3.92,0,1.96,0,0,0,243.01,3.92,37.24,52.91,0,0,7.84,0,3.92,54.87,0,0,0,0,1.96,0,5.88,9.8,7.84,0
