stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,4,0,0
 24-34,0,0,13.95,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,5.75,0,2.46,0,0,0,0,0,0,1.64,0,0,4.1,0,0
 36-46,0,0,13.7,0,1.61,12.09,0,0.81,0,0,1.61,0,0,0,0,0,2.42,0,0.81,9.67,1.61,6.45,2.42,0,0,0,1.61,0,0.81,0,0,7.25,0,0
 48-58,0,0,17.21,0,3.44,1.15,0,0,0,0,0,0,0,0.57,0,0,1.72,0,0.57,18.94,0.57,4.02,1.72,0,0,0,0,0,2.87,0,0,1.72,0,0
 60-70,0,0,45.15,0,7.85,22.58,0,0.98,0,0,0.98,0.98,0.98,2.94,1.96,0,0,0,0.98,31.41,0,3.93,3.93,0,1.96,0,0,0,3.93,0.98,0,3.93,0,0
 72-82,0,0.98,36.32,0,7.85,0.98,0.98,0.98,3.93,0.98,0.98,2.94,1.96,5.89,2.94,0,2.94,0.98,0,28.47,0,6.87,7.85,0,0.98,0,0.98,0,2.94,0.98,0,4.91,0,0
 84-94,2.12,2.12,81.78,0,4.25,9.56,0,2.12,4.25,0,3.19,3.19,3.19,4.25,2.12,1.06,4.25,1.06,0,5.31,0,18.05,4.25,1.06,3.19,0,3.19,0,3.19,1.06,0,2.12,0,0
 96-106,0,6.56,149.72,1.09,5.46,15.3,1.09,9.84,27.32,1.09,1.09,4.37,4.37,10.93,1.09,0,3.28,1.09,0,17.49,0,27.32,8.74,0,3.28,0,1.09,0,0,2.19,0,5.46,1.09,1.09
108-118,0,0.77,96.51,0,3.06,15.32,0.77,9.19,22.21,0,0.77,3.06,4.6,7.66,1.53,0,3.06,0.77,2.3,10.72,0,15.32,6.13,1.53,3.06,0,3.06,0,0,5.36,0.77,7.66,0,0
120,0,0,76.43,1.96,7.84,7.84,0,13.72,11.76,3.92,0,0,1.96,9.8,1.96,0,3.92,3.92,0,17.64,0,17.64,13.72,0,1.96,0,3.92,0,0,0,0,3.92,0,0
