stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,140.98,0,0,0,0,0,0,0,0,6.13,6.13,6.13,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,57.83,2.63,31.54,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,3.15,0,0,0,44.06,0,12.59,0,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
