stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,10,1,2,0,0,0,3,0,1,0,0,0,0,0,12,0,0,4,67,0,0,0,0,8,2,2,11,22,0,0,0,0,0
 24-34,0.82,0.82,4.1,0,0,0,2.46,0,0.82,0,0,0,0,0,4.1,0,0,5.75,41.86,0,0,0,0.82,0,0,0,2.46,10.67,0,0,0.82,0,0
 36-46,0.81,0,8.06,0,0,0,6.45,0,0,0,0,0,0,0,9.67,0,0,2.42,43.51,0,1.61,0.81,0.81,0,0,0,0,12.89,0,0,2.42,0,0
 48-58,0,0,2.3,0,0,0,7.46,0,0.57,0,0,0,0,0,6.89,0,0,0.57,10.9,0.57,0,0,1.72,0,0,0,0,6.89,0,0,0,0,0.57
 60-70,1.96,1.96,5.89,0,0,0,0.98,0.98,0,0,0,0,0,0,8.83,0,0,0,9.82,0,0,0,4.91,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,1.96,1.96,12.76,0.98,0.98,0.98,10.8,0.98,0,0,0,0,0,0,33.38,0,0.98,1.96,16.69,0,0,0,15.71,0,0,0,0,0.98,0,0,2.94,0.98,0
 84-94,10.62,5.31,25.49,0,3.19,1.06,11.68,0,1.06,0,1.06,0,0,2.12,30.8,0,1.06,0,16.99,0,1.06,1.06,75.4,0,0,0,0,2.12,0,1.06,3.19,3.19,0
 96-106,1.09,0,4.37,0,1.09,0,4.37,0,0,0,0,0,0,0,3.28,1.09,0,0,10.93,0,0,1.09,2.19,0,0,0,0,3.28,0,0,0,0,0
108-118,6.89,0,13.02,0,2.3,0.77,5.36,0.77,0,1.53,0,0.77,0.77,0,13.79,1.53,0,0.77,26.81,0,3.83,2.3,27.57,0,0,0,0,2.3,0.77,0,2.3,0,0
120,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,3.92,5.88,0,0,0,0,0,0,0,0,0,0
