stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,14,3,0,12,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,7,59,1,0,0,4,0,5,5,0,2,13,17,0,0,0,0
 24-34,0,0.82,1.64,15.6,0,0,14.78,0.82,0,0,6.57,0.82,0,0,0.82,0.82,0,0,0,32.83,0.82,0,12.31,135.44,4.1,3.28,0.82,0,0,20.52,0,0.82,0.82,1.64,35.3,0,0,3.28,0
 36-46,0,0,0,2.42,0,0,16.11,0,0,0,0.81,0,0,0,0,0,0,0,0,8.86,0,0,3.22,25.78,0,0.81,0,0,0,5.64,0,0.81,0,0,10.47,0,0,0,0
 48-58,0,0,0,2.87,0,0,45.9,0,1.15,1.15,5.74,0,0,0.57,2.87,0.57,0,0.57,0,18.94,0,1.72,7.46,33.28,0,2.87,0,0,0,4.59,0,0,0,0,11.48,0,0,2.3,0
 60-70,0,0,0,2.94,0,0,16.69,0,0,0.98,0,0,0,0,0,0,0,0,0,12.76,0,0,0.98,17.67,0,0,0,0,0,9.82,0,0.98,0,0,2.94,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,0,32.39,0,0.98,2.94,2.94,0,0,0,1.96,0,0,0,0,19.63,0.98,0.98,1.96,28.47,0,0.98,0,0,1.96,6.87,0,0,0,0,1.96,0.98,0.98,0.98,0.98
 84-94,0,0,0,1.06,0,0,12.74,0,0,0,2.12,0,0,0,5.31,1.06,1.06,0,1.06,12.74,0,1.06,0,9.56,1.06,1.06,3.19,0,0,4.25,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,3.28,0,0,13.11,0,1.09,0,8.74,3.28,0,0,5.46,1.09,1.09,0,0,15.3,0,0,3.28,10.93,0,1.09,0,0,0,7.65,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0,0.77,0,0.77,10.72,0,0,0,2.3,0,0,0,3.83,0.77,0,0,2.3,10.72,0,0,2.3,7.66,1.53,2.3,0,0,0,2.3,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,5.88,5.88,0,9.8,0,0,0,1.96,0,0,0,3.92,0,0,0,0,15.68,0,0,1.96,19.6,0,1.96,0,0,0,13.72,0,0,0,0,0,0,0,1.96,0
