stage,axial,blastomeres,epidermis,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,3.15,0,6.29,3.15,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,13.13,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,5.64,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0,9.18,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0,23.56,0,0,0
 72-82,0,0,1.96,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0,24.54,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,0,52.04,0,0,0
 96-106,0,0,5.46,1.09,1.09,0,0,1.09,3.28,1.09,0,0,0,1.09,0,1.09,0,150.81,0,0,0
108-118,0,0,4.6,0,3.83,0.77,0,0.77,2.3,0,0.77,0.77,0.77,2.3,0,0,0,70.47,0,0,0.77
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.03,0,0,0
