stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,0,0,0,23.66,0,0,0,0,2.63,0,0,0,0,0,0,0,0,126.18,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,5,0,0,0,0,0,0,0,0,0,0,4,0,1,23,1,0,1,1,1,1,1,1,8,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,8.21,0.82,0,1.64,0,0,0,0,1.64,0,0.82,0,0,1.64,39.4,0,2.46,0,0,3.28,0,0.82,0,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,18.53,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,14.35,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,30.41,0,1.15,1.15,0,0,0,0,0,2.87,0,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,96.19,0.98,0,5.89,0.98,0,0,0.98,0,0,0,6.87,0.98,0,113.86,0,1.96,0,0,1.96,0,0,0,9.82,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,0.98,0,41.23,0,0,7.85,0.98,0,0.98,1.96,0,0,0,3.93,0,0,43.19,0,0.98,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,7.43,0,0,3.19,0,0,0,0,1.06,0,0,1.06,0,0,21.24,0,1.06,0,0,2.12,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,10.93,0,0,5.46,0,0,0,0,0,0,0,2.19,0,0,12.02,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,3.83,0,0.77,0,0.77,0,0,1.53,0,0,0,1.53,0,0,14.55,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
