stage,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.93,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,4.03,0,3.22,0,0,0
 48-58,0,1.72,0,0.57,0,0,0,0,0,0,0,0,3.44,0,1.72,0.57,0,0
 60-70,0,3.93,0,0.98,0,0,0,0,0,1.96,0,1.96,1.96,0,2.94,0,0,0
 72-82,0.98,1.96,0,1.96,0,0,0,0,0,1.96,0,0.98,5.89,0,0,1.96,1.96,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,1.06,1.06,0,8.5,1.06,5.31,0,0,0
 96-106,2.19,1.09,0,0,0,0,0,1.09,0,1.09,0,0,1.09,1.09,10.93,1.09,0,0
108-118,1.53,1.53,0,1.53,0,0,0.77,0,0.77,0.77,0.77,0,0.77,0,6.89,0,0,0.77
120,1.96,1.96,1.96,0,1.96,0,3.92,1.96,0,0,0,0,3.92,0,3.92,0,0,1.96
