stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,pgc,taste,vascular_smooth_muscle,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,34.36,0.98,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,44.61,0,2.12,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06,3.19,0,1.06
 96-106,0,0,3.28,1.09,0,0,124.58,0,1.09,1.09,1.09,0,2.19,3.28,2.19,0,2.19,0,0,0,0,1.09,1.09,3.28
108-118,0,0,5.36,3.83,0.77,0.77,162.38,0,3.83,0,0,0,0,0.77,0,0.77,5.36,0,0,0,0,9.19,0,1.53
120,0,0,1.96,1.96,0,0,64.67,0,0,0,1.96,0,1.96,5.88,0,0,1.96,0,0,1.96,0,3.92,0,0
